축제명,그룹명,개최년도,구분명,구분값
정남진장흥물축제,축제기간,2023,외부방문자 유입,0.5951275319751921
정남진장흥물축제,축제기간,2023,현지인방문자 유입,0.8449032677613396
정남진장흥물축제,축제기간,2023,내비게이션 검색량,0.5664983164983165
정남진장흥물축제,축제기간,2023,관광소비,0.7693480897741007
정남진장흥물축제,축제기간,2023,축제지 집중률,0.9111321311383714
정남진장흥물축제,비축제기간,2023,외부방문자 유입,0.25258742943550616
정남진장흥물축제,비축제기간,2023,현지인방문자 유입,0.8142804241406094
정남진장흥물축제,비축제기간,2023,내비게이션 검색량,0.12581369248035915
정남진장흥물축제,비축제기간,2023,관광소비,0.4960579661803574
정남진장흥물축제,비축제기간,2023,축제지 집중률,0.782058869785829
정남진장흥물축제,축제기간,2022,외부방문자 유입,0.5168651404143892
정남진장흥물축제,축제기간,2022,현지인방문자 유입,0.7986408762867715
정남진장흥물축제,축제기간,2022,내비게이션 검색량,0.5478249475890985
정남진장흥물축제,축제기간,2022,관광소비,0.655870387403376
정남진장흥물축제,축제기간,2022,축제지 집중률,0.901725948427546
정남진장흥물축제,비축제기간,2022,외부방문자 유입,0.2681486492408821
정남진장흥물축제,비축제기간,2022,현지인방문자 유입,0.7727176979155219
정남진장흥물축제,비축제기간,2022,내비게이션 검색량,0.15199161425576518
정남진장흥물축제,비축제기간,2022,관광소비,0.5347580133580231
정남진장흥물축제,비축제기간,2022,축제지 집중률,0.7735745571658178
정남진장흥물축제,축제기간,2019,외부방문자 유입,0.6169491150931307
정남진장흥물축제,축제기간,2019,현지인방문자 유입,0.8938838510515146
정남진장흥물축제,축제기간,2019,내비게이션 검색량,0.7038007863695936
정남진장흥물축제,축제기간,2019,관광소비,0.7126948211591405
정남진장흥물축제,축제기간,2019,축제지 집중률,0.937097053887382
정남진장흥물축제,비축제기간,2019,외부방문자 유입,0.2745251141840771
정남진장흥물축제,비축제기간,2019,현지인방문자 유입,0.8282537691904853
정남진장흥물축제,비축제기간,2019,내비게이션 검색량,0.18137287024901705
정남진장흥물축제,비축제기간,2019,관광소비,0.5081840590557476
정남진장흥물축제,비축제기간,2019,축제지 집중률,0.7856781560782599
정남진장흥물축제,축제기간,2018,외부방문자 유입,0.6378525093127146
정남진장흥물축제,축제기간,2018,현지인방문자 유입,0.8925730602255179
정남진장흥물축제,축제기간,2018,내비게이션 검색량,0.6690595836324479
정남진장흥물축제,축제기간,2018,관광소비,0.6814843049047464
정남진장흥물축제,축제기간,2018,축제지 집중률,0.9369188547820133
정남진장흥물축제,비축제기간,2018,외부방문자 유입,0.2633486255508037
정남진장흥물축제,비축제기간,2018,현지인방문자 유입,0.8449673669182134
정남진장흥물축제,비축제기간,2018,내비게이션 검색량,0.14619526202440777
정남진장흥물축제,비축제기간,2018,관광소비,0.45852984101637245
정남진장흥물축제,비축제기간,2018,축제지 집중률,0.8125234155940574
