축제명,그룹명,개최년도,구분명,구분값
정선아리랑제,축제기간,2023,외부방문자 유입,0.3892674015375253
정선아리랑제,축제기간,2023,현지인방문자 유입,0.9272959183673469
정선아리랑제,축제기간,2023,내비게이션 검색량,0.21568265682656826
정선아리랑제,축제기간,2023,관광소비,0.43176855679390824
정선아리랑제,축제기간,2023,축제지 집중률,0.8660485979160405
정선아리랑제,비축제기간,2023,외부방문자 유입,0.3738632291665696
정선아리랑제,비축제기간,2023,현지인방문자 유입,0.7123507073283859
정선아리랑제,비축제기간,2023,내비게이션 검색량,0.28850322878228785
정선아리랑제,비축제기간,2023,관광소비,0.5670275102598323
정선아리랑제,비축제기간,2023,축제지 집중률,0.6406577871641593
정선아리랑제,축제기간,2022,외부방문자 유입,0.4701936155757246
정선아리랑제,축제기간,2022,현지인방문자 유입,0.9236694677871149
정선아리랑제,축제기간,2022,내비게이션 검색량,0.22882868267358858
정선아리랑제,축제기간,2022,관광소비,0.40471670572654667
정선아리랑제,축제기간,2022,축제지 집중률,0.8840776318594927
정선아리랑제,비축제기간,2022,외부방문자 유입,0.3892423262848634
정선아리랑제,비축제기간,2022,현지인방문자 유입,0.7189177754435108
정선아리랑제,비축제기간,2022,내비게이션 검색량,0.2804692569759896
정선아리랑제,비축제기간,2022,관광소비,0.49372857083588806
정선아리랑제,비축제기간,2022,축제지 집중률,0.6312755133003202
정선아리랑제,축제기간,2019,외부방문자 유입,0.42173543821448023
정선아리랑제,축제기간,2019,현지인방문자 유입,0.9108100479819362
정선아리랑제,축제기간,2019,내비게이션 검색량,0.30896805896805896
정선아리랑제,축제기간,2019,관광소비,0.426904198625422
정선아리랑제,축제기간,2019,축제지 집중률,0.8378745201017315
정선아리랑제,비축제기간,2019,외부방문자 유입,0.2914403919433859
정선아리랑제,비축제기간,2019,현지인방문자 유입,0.6479149026248942
정선아리랑제,비축제기간,2019,내비게이션 검색량,0.191435042997543
정선아리랑제,비축제기간,2019,관광소비,0.35263691769023026
정선아리랑제,비축제기간,2019,축제지 집중률,0.6446005688459678
정선아리랑제,축제기간,2018,외부방문자 유입,0.30778534664299495
정선아리랑제,축제기간,2018,현지인방문자 유입,0.8314675103431491
정선아리랑제,축제기간,2018,내비게이션 검색량,0.2102714413151523
정선아리랑제,축제기간,2018,관광소비,0.33658904876087387
정선아리랑제,축제기간,2018,축제지 집중률,0.6399448631945532
정선아리랑제,비축제기간,2018,외부방문자 유입,0.26317820361227195
정선아리랑제,비축제기간,2018,현지인방문자 유입,0.7616106919769612
정선아리랑제,비축제기간,2018,내비게이션 검색량,0.14391646489104115
정선아리랑제,비축제기간,2018,관광소비,0.3316302002901824
정선아리랑제,비축제기간,2018,축제지 집중률,0.5461778656433143
