축제명,그룹명,개최년도,구분명,구분값
제주들불축제,축제기간,2023,외부방문자 유입,0.6681209697838245
제주들불축제,축제기간,2023,현지인방문자 유입,0.8465681973286536
제주들불축제,축제기간,2023,내비게이션 검색량,0.6116192924100393
제주들불축제,축제기간,2023,관광소비,0.6809344002166797
제주들불축제,축제기간,2023,축제지 집중률,0.8413593829796104
제주들불축제,비축제기간,2023,외부방문자 유입,0.7191823269187517
제주들불축제,비축제기간,2023,현지인방문자 유입,0.7740247513892952
제주들불축제,비축제기간,2023,내비게이션 검색량,0.6268757559721803
제주들불축제,비축제기간,2023,관광소비,0.7401352602574329
제주들불축제,비축제기간,2023,축제지 집중률,0.8472029862814586
제주들불축제,축제기간,2022,외부방문자 유입,0.0
제주들불축제,축제기간,2022,현지인방문자 유입,0.0
제주들불축제,축제기간,2022,내비게이션 검색량,0.0
제주들불축제,축제기간,2022,관광소비,0.0
제주들불축제,축제기간,2022,축제지 집중률,0.0
제주들불축제,비축제기간,2022,외부방문자 유입,0.0
제주들불축제,비축제기간,2022,현지인방문자 유입,0.0
제주들불축제,비축제기간,2022,내비게이션 검색량,0.0
제주들불축제,비축제기간,2022,관광소비,0.0
제주들불축제,비축제기간,2022,축제지 집중률,0.0
제주들불축제,축제기간,2019,외부방문자 유입,0.6986447908085465
제주들불축제,축제기간,2019,현지인방문자 유입,0.8113465974625144
제주들불축제,축제기간,2019,내비게이션 검색량,0.4497378503730591
제주들불축제,축제기간,2019,관광소비,0.7263560048366068
제주들불축제,축제기간,2019,축제지 집중률,0.8141413515844605
제주들불축제,비축제기간,2019,외부방문자 유입,0.673692389094351
제주들불축제,비축제기간,2019,현지인방문자 유입,0.7371738033448674
제주들불축제,비축제기간,2019,내비게이션 검색량,0.42528105464811455
제주들불축제,비축제기간,2019,관광소비,0.7789437332865036
제주들불축제,비축제기간,2019,축제지 집중률,0.7407062442313361
제주들불축제,축제기간,2018,외부방문자 유입,0.708653102160621
제주들불축제,축제기간,2018,현지인방문자 유입,0.8113472546109816
제주들불축제,축제기간,2018,내비게이션 검색량,0.6716482878699942
제주들불축제,축제기간,2018,관광소비,0.7296727295111579
제주들불축제,축제기간,2018,축제지 집중률,0.768802004895038
제주들불축제,비축제기간,2018,외부방문자 유입,0.5759152440896207
제주들불축제,비축제기간,2018,현지인방문자 유입,0.6447755458978164
제주들불축제,비축제기간,2018,내비게이션 검색량,0.3901080963435868
제주들불축제,비축제기간,2018,관광소비,0.6829033374248806
제주들불축제,비축제기간,2018,축제지 집중률,0.6202777606950347
