축제명,그룹명,개최년도,구분명,구분값
지용제,축제기간,2023,외부방문자 유입,0.5163286772180502
지용제,축제기간,2023,현지인방문자 유입,0.8966797728265619
지용제,축제기간,2023,내비게이션 검색량,0.5226920093095423
지용제,축제기간,2023,관광소비,0.6490575340033379
지용제,축제기간,2023,축제지 집중률,0.8007515811937476
지용제,비축제기간,2023,외부방문자 유입,0.4395096603963708
지용제,비축제기간,2023,현지인방문자 유입,0.8018102883355177
지용제,비축제기간,2023,내비게이션 검색량,0.41158359193173
지용제,비축제기간,2023,관광소비,0.6237770652051176
지용제,비축제기간,2023,축제지 집중률,0.6856182604257218
지용제,축제기간,2022,외부방문자 유입,0.48923601515369475
지용제,축제기간,2022,현지인방문자 유입,0.9076340326340326
지용제,축제기간,2022,내비게이션 검색량,0.4724806201550388
지용제,축제기간,2022,관광소비,0.6513999551684198
지용제,축제기간,2022,축제지 집중률,0.7051876041296786
지용제,비축제기간,2022,외부방문자 유입,0.47809412803284307
지용제,비축제기간,2022,현지인방문자 유입,0.8542494437380801
지용제,비축제기간,2022,내비게이션 검색량,0.46661821705426354
지용제,비축제기간,2022,관광소비,0.673132461232156
지용제,비축제기간,2022,축제지 집중률,0.6293326627317622
지용제,축제기간,2019,외부방문자 유입,0.4948403388907111
지용제,축제기간,2019,현지인방문자 유입,0.9073230769230769
지용제,축제기간,2019,내비게이션 검색량,0.3553299492385787
지용제,축제기간,2019,관광소비,0.6161697201639625
지용제,축제기간,2019,축제지 집중률,0.746623705335393
지용제,비축제기간,2019,외부방문자 유입,0.35388135072631355
지용제,비축제기간,2019,현지인방문자 유입,0.8251384615384615
지용제,비축제기간,2019,내비게이션 검색량,0.25638483502538073
지용제,비축제기간,2019,관광소비,0.6173183614432222
지용제,비축제기간,2019,축제지 집중률,0.5906765547062109
지용제,축제기간,2018,외부방문자 유입,0.3824079801380191
지용제,축제기간,2018,현지인방문자 유입,0.9257322175732218
지용제,축제기간,2018,내비게이션 검색량,0.3964285714285714
지용제,축제기간,2018,관광소비,0.5036392323321913
지용제,축제기간,2018,축제지 집중률,0.7102302430796591
지용제,비축제기간,2018,외부방문자 유입,0.3504443861684449
지용제,비축제기간,2018,현지인방문자 유입,0.8723971953451883
지용제,비축제기간,2018,내비게이션 검색량,0.34017857142857144
지용제,비축제기간,2018,관광소비,0.5485241036963964
지용제,비축제기간,2018,축제지 집중률,0.6059113210204778
