축제명,그룹명,개최년도,구분명,구분값
진도신비의바닷길축제,축제기간,2023,외부방문자 유입,0.9019559210335664
진도신비의바닷길축제,축제기간,2023,현지인방문자 유입,0.8976153447382063
진도신비의바닷길축제,축제기간,2023,내비게이션 검색량,0.19487179487179487
진도신비의바닷길축제,축제기간,2023,관광소비,0.6956442741007879
진도신비의바닷길축제,축제기간,2023,축제지 집중률,0.8800279639197289
진도신비의바닷길축제,비축제기간,2023,외부방문자 유입,0.17688651973819908
진도신비의바닷길축제,비축제기간,2023,현지인방문자 유입,0.34136858475894244
진도신비의바닷길축제,비축제기간,2023,내비게이션 검색량,0.11303418803418804
진도신비의바닷길축제,비축제기간,2023,관광소비,0.6012184192133863
진도신비의바닷길축제,비축제기간,2023,축제지 집중률,0.24799111935402
진도신비의바닷길축제,축제기간,2022,외부방문자 유입,0.0
진도신비의바닷길축제,축제기간,2022,현지인방문자 유입,0.0
진도신비의바닷길축제,축제기간,2022,내비게이션 검색량,0.0
진도신비의바닷길축제,축제기간,2022,관광소비,0.0
진도신비의바닷길축제,축제기간,2022,축제지 집중률,0.0
진도신비의바닷길축제,비축제기간,2022,외부방문자 유입,0.0
진도신비의바닷길축제,비축제기간,2022,현지인방문자 유입,0.0
진도신비의바닷길축제,비축제기간,2022,내비게이션 검색량,0.0
진도신비의바닷길축제,비축제기간,2022,관광소비,0.0
진도신비의바닷길축제,비축제기간,2022,축제지 집중률,0.0
진도신비의바닷길축제,축제기간,2019,외부방문자 유입,0.6595926931621822
진도신비의바닷길축제,축제기간,2019,현지인방문자 유입,0.8524251805985552
진도신비의바닷길축제,축제기간,2019,내비게이션 검색량,0.36204954954954954
진도신비의바닷길축제,축제기간,2019,관광소비,0.4685668974540718
진도신비의바닷길축제,축제기간,2019,축제지 집중률,0.8214827541249725
진도신비의바닷길축제,비축제기간,2019,외부방문자 유입,0.09553165884966676
진도신비의바닷길축제,비축제기간,2019,현지인방문자 유입,0.30534055727554177
진도신비의바닷길축제,비축제기간,2019,내비게이션 검색량,0.06658220720720721
진도신비의바닷길축제,비축제기간,2019,관광소비,0.40456092986375386
진도신비의바닷길축제,비축제기간,2019,축제지 집중률,0.19837849309513253
진도신비의바닷길축제,축제기간,2018,외부방문자 유입,0.7154373621131715
진도신비의바닷길축제,축제기간,2018,현지인방문자 유입,0.890728476821192
진도신비의바닷길축제,축제기간,2018,내비게이션 검색량,0.5507968127490039
진도신비의바닷길축제,축제기간,2018,관광소비,0.6797410974534285
진도신비의바닷길축제,축제기간,2018,축제지 집중률,0.9075140746960892
진도신비의바닷길축제,비축제기간,2018,외부방문자 유입,0.12268499195039057
진도신비의바닷길축제,비축제기간,2018,현지인방문자 유입,0.3728614790286976
진도신비의바닷길축제,비축제기간,2018,내비게이션 검색량,0.11391932270916334
진도신비의바닷길축제,비축제기간,2018,관광소비,0.5044557609341175
진도신비의바닷길축제,비축제기간,2018,축제지 집중률,0.24041744065278028
