축제명,그룹명,개최년도,구분명,구분값
진안홍삼축제,축제기간,2023,외부방문자 유입,0.4323959167690525
진안홍삼축제,축제기간,2023,현지인방문자 유입,0.6016881028938906
진안홍삼축제,축제기간,2023,내비게이션 검색량,0.7168338907469343
진안홍삼축제,축제기간,2023,관광소비,0.7341540576674604
진안홍삼축제,축제기간,2023,축제지 집중률,0.9664730239738498
진안홍삼축제,비축제기간,2023,외부방문자 유입,0.35564364425268746
진안홍삼축제,비축제기간,2023,현지인방문자 유입,0.6629990621650589
진안홍삼축제,비축제기간,2023,내비게이션 검색량,0.22268673355629878
진안홍삼축제,비축제기간,2023,관광소비,0.6643736053533834
진안홍삼축제,비축제기간,2023,축제지 집중률,0.6459526681441796
진안홍삼축제,축제기간,2022,외부방문자 유입,0.6059135327136616
진안홍삼축제,축제기간,2022,현지인방문자 유입,0.8247047244094489
진안홍삼축제,축제기간,2022,내비게이션 검색량,0.6587677725118484
진안홍삼축제,축제기간,2022,관광소비,0.7609484084148399
진안홍삼축제,축제기간,2022,축제지 집중률,0.9045672154676115
진안홍삼축제,비축제기간,2022,외부방문자 유입,0.352580680636474
진안홍삼축제,비축제기간,2022,현지인방문자 유입,0.707320374015748
진안홍삼축제,비축제기간,2022,내비게이션 검색량,0.34737855450236965
진안홍삼축제,비축제기간,2022,관광소비,0.6638820706272275
진안홍삼축제,비축제기간,2022,축제지 집중률,0.6435794947754467
진안홍삼축제,축제기간,2019,외부방문자 유입,0.6453396342223185
진안홍삼축제,축제기간,2019,현지인방문자 유입,0.8556427870461236
진안홍삼축제,축제기간,2019,내비게이션 검색량,0.5986666666666667
진안홍삼축제,축제기간,2019,관광소비,0.6974711208344553
진안홍삼축제,축제기간,2019,축제지 집중률,0.9502337069976251
진안홍삼축제,비축제기간,2019,외부방문자 유입,0.29854791890682036
진안홍삼축제,비축제기간,2019,현지인방문자 유입,0.6300294406280668
진안홍삼축제,비축제기간,2019,내비게이션 검색량,0.29683333333333334
진안홍삼축제,비축제기간,2019,관광소비,0.5897988882155057
진안홍삼축제,비축제기간,2019,축제지 집중률,0.6129460496051901
진안홍삼축제,축제기간,2018,외부방문자 유입,0.5292216331301662
진안홍삼축제,축제기간,2018,현지인방문자 유입,0.8707403055229143
진안홍삼축제,축제기간,2018,내비게이션 검색량,0.5747863247863247
진안홍삼축제,축제기간,2018,관광소비,0.7982517565123991
진안홍삼축제,축제기간,2018,축제지 집중률,0.9482898466504008
진안홍삼축제,비축제기간,2018,외부방문자 유입,0.2610679583785589
진안홍삼축제,비축제기간,2018,현지인방문자 유입,0.661519535840188
진안홍삼축제,비축제기간,2018,내비게이션 검색량,0.2799145299145299
진안홍삼축제,비축제기간,2018,관광소비,0.6419003800195733
진안홍삼축제,비축제기간,2018,축제지 집중률,0.6626128752517454
