축제명,그룹명,개최년도,구분명,구분값
진주유등축제,축제기간,2023,외부방문자 유입,0.4118876847705036
진주유등축제,축제기간,2023,현지인방문자 유입,0.7994260530900892
진주유등축제,축제기간,2023,내비게이션 검색량,0.3180989796475146
진주유등축제,축제기간,2023,관광소비,0.6220267947434857
진주유등축제,축제기간,2023,축제지 집중률,0.671126871631856
진주유등축제,비축제기간,2023,외부방문자 유입,0.2052322813803755
진주유등축제,비축제기간,2023,현지인방문자 유입,0.6980912024258447
진주유등축제,비축제기간,2023,내비게이션 검색량,0.06639440960482274
진주유등축제,비축제기간,2023,관광소비,0.6079767714431167
진주유등축제,비축제기간,2023,축제지 집중률,0.3745331455962803
진주유등축제,축제기간,2022,외부방문자 유입,0.4383269454659375
진주유등축제,축제기간,2022,현지인방문자 유입,0.8094215020176475
진주유등축제,축제기간,2022,내비게이션 검색량,0.40072351706616594
진주유등축제,축제기간,2022,관광소비,0.7452031780806371
진주유등축제,축제기간,2022,축제지 집중률,0.7098441192829762
진주유등축제,비축제기간,2022,외부방문자 유입,0.25470601695827044
진주유등축제,비축제기간,2022,현지인방문자 유입,0.7411969613286435
진주유등축제,비축제기간,2022,내비게이션 검색량,0.2050931551235318
진주유등축제,비축제기간,2022,관광소비,0.7156479172554726
진주유등축제,비축제기간,2022,축제지 집중률,0.4857640542619828
진주유등축제,축제기간,2019,외부방문자 유입,0.44428136991128786
진주유등축제,축제기간,2019,현지인방문자 유입,0.8381127143364119
진주유등축제,축제기간,2019,내비게이션 검색량,0.400427067974986
진주유등축제,축제기간,2019,관광소비,0.6567569356335443
진주유등축제,축제기간,2019,축제지 집중률,0.7297045559347951
진주유등축제,비축제기간,2019,외부방문자 유입,0.2091468775477226
진주유등축제,비축제기간,2019,현지인방문자 유입,0.7243467121378678
진주유등축제,비축제기간,2019,내비게이션 검색량,0.14164421170369618
진주유등축제,비축제기간,2019,관광소비,0.6813177844796143
진주유등축제,비축제기간,2019,축제지 집중률,0.39152765236727366
진주유등축제,축제기간,2018,외부방문자 유입,0.5224303074994587
진주유등축제,축제기간,2018,현지인방문자 유입,0.7549578842623089
진주유등축제,축제기간,2018,내비게이션 검색량,0.5002415847962635
진주유등축제,축제기간,2018,관광소비,0.5869983719976744
진주유등축제,축제기간,2018,축제지 집중률,0.7453502181207069
진주유등축제,비축제기간,2018,외부방문자 유입,0.25736407036320075
진주유등축제,비축제기간,2018,현지인방문자 유입,0.6566323527350703
진주유등축제,비축제기간,2018,내비게이션 검색량,0.1562248349170559
진주유등축제,비축제기간,2018,관광소비,0.6111473232875437
진주유등축제,비축제기간,2018,축제지 집중률,0.39555736172194644
