읍면동명,목적지명,도로명주소,카테고리,구분,순위
백석동,천안흥타령춤축제,충남 천안시 서북구 번영로 208-0,기타문화관광지,현지인,1
청룡동,천안삼거리공원,충남 천안시 동남구 충절로 410-0,도시공원,현지인,2
청룡동,천안박물관,충남 천안시 동남구 천안대로 429-13,전시시설,현지인,3
백석동,톤톤프리미엄키즈카페,충남 천안시 서북구 한들1로 196-0,테마공원,현지인,4
백석동,롤킹롤러스케이트장,충남 천안시 서북구 한들3로 8-0,육상레저스포츠,현지인,4
백석동,테테루드림랜드,충남 천안시 서북구 한들1로 218-0,테마공원,현지인,6
청룡동,천안흥타령관,충남 천안시 동남구 천안대로 412-0,전시시설,현지인,7
청룡동,천안생활체육공원,충남 천안시 동남구 천안대로 357-0,도시공원,현지인,8
청룡동,청수호수공원,충남 천안시 동남구 청수로 20-0,도시공원,현지인,9
백석동,평생탁구교실,충남 천안시 서북구 백석3로 130-14,기타레저스포츠,현지인,10
백석동,닥터고운동과학센터,충남 천안시 서북구 백석로 93-0,기타레저스포츠,현지인,10
백석동,힐링포스처자세교정운동센터,충남 천안시 서북구 백석로 136-0,기타레저스포츠,현지인,12
백석동,마치파크,충남 천안시 서북구 한들1로 171-0,도시공원,현지인,12
청룡동,천안삼거리공원,충남 천안시 동남구 충절로 410-0,도시공원,외지인,1
백석동,천안흥타령춤축제,충남 천안시 서북구 번영로 208-0,기타문화관광지,외지인,2
청룡동,천안박물관,충남 천안시 동남구 천안대로 429-13,전시시설,외지인,3
청룡동,천안흥타령관,충남 천안시 동남구 천안대로 412-0,전시시설,외지인,4
백석동,롤킹롤러스케이트장,충남 천안시 서북구 한들3로 8-0,육상레저스포츠,외지인,5
청룡동,천안생활체육공원,충남 천안시 동남구 천안대로 357-0,도시공원,외지인,6
청룡동,청수호수공원,충남 천안시 동남구 청수로 20-0,도시공원,외지인,7
백석동,톤톤프리미엄키즈카페,충남 천안시 서북구 한들1로 196-0,테마공원,외지인,7
백석동,테테루드림랜드,충남 천안시 서북구 한들1로 218-0,테마공원,외지인,9
백석동,닥터고운동과학센터,충남 천안시 서북구 백석로 93-0,기타레저스포츠,외지인,10
백석동,평생탁구교실,충남 천안시 서북구 백석3로 130-14,기타레저스포츠,외지인,11
청룡동,천안야구장,충남 천안시 동남구 천안대로 320-0,레저스포츠시설,외지인,12
청룡동,천샛골낚시터,충남 천안시 동남구 샛골길 137-0,수상레저스포츠,외지인,13
청룡동,천안박물관다다어린이체험관,충남 천안시 동남구 천안대로 429-13,전시시설,외지인,13
청룡동,보광사,충남 천안시 동남구 청수3길 37-0,종교성지,외지인,13
청룡동,선영비앤씨,충남 천안시 동남구 풍세로 746-0,시장,외지인,13
백석동,힐링포스처자세교정운동센터,충남 천안시 서북구 백석로 136-0,기타레저스포츠,외지인,13
백석동,천안한들파크골프장,충남 천안시 서북구 음봉로 861-50,육상레저스포츠,외지인,13
백석동,마치파크,충남 천안시 서북구 한들1로 171-0,도시공원,외지인,13
청룡동,천안삼거리공원,충남 천안시 동남구 충절로 410-0,도시공원,전체,1
백석동,천안흥타령춤축제,충남 천안시 서북구 번영로 208-0,기타문화관광지,전체,2
청룡동,천안박물관,충남 천안시 동남구 천안대로 429-13,전시시설,전체,3
청룡동,천안흥타령관,충남 천안시 동남구 천안대로 412-0,전시시설,전체,4
백석동,롤킹롤러스케이트장,충남 천안시 서북구 한들3로 8-0,육상레저스포츠,전체,5
청룡동,천안생활체육공원,충남 천안시 동남구 천안대로 357-0,도시공원,전체,6
백석동,톤톤프리미엄키즈카페,충남 천안시 서북구 한들1로 196-0,테마공원,전체,7
청룡동,청수호수공원,충남 천안시 동남구 청수로 20-0,도시공원,전체,8
백석동,테테루드림랜드,충남 천안시 서북구 한들1로 218-0,테마공원,전체,9
백석동,닥터고운동과학센터,충남 천안시 서북구 백석로 93-0,기타레저스포츠,전체,10
백석동,평생탁구교실,충남 천안시 서북구 백석3로 130-14,기타레저스포츠,전체,11
청룡동,천안야구장,충남 천안시 동남구 천안대로 320-0,레저스포츠시설,전체,12
백석동,힐링포스처자세교정운동센터,충남 천안시 서북구 백석로 136-0,기타레저스포츠,전체,12
백석동,마치파크,충남 천안시 서북구 한들1로 171-0,도시공원,전체,12
청룡동,천샛골낚시터,충남 천안시 동남구 샛골길 137-0,수상레저스포츠,전체,15
청룡동,천안박물관다다어린이체험관,충남 천안시 동남구 천안대로 429-13,전시시설,전체,15
청룡동,보광사,충남 천안시 동남구 청수3길 37-0,종교성지,전체,15
청룡동,선영비앤씨,충남 천안시 동남구 풍세로 746-0,시장,전체,15
백석동,천안한들파크골프장,충남 천안시 서북구 음봉로 861-50,육상레저스포츠,전체,15
