축제명,그룹명,개최년도,구분명,구분값
천안흥타령축제,축제기간,2023,외부방문자 유입,0.89593496311834
천안흥타령축제,축제기간,2023,현지인방문자 유입,0.9221297836938436
천안흥타령축제,축제기간,2023,내비게이션 검색량,0.6252465483234714
천안흥타령축제,축제기간,2023,관광소비,0.660259711832897
천안흥타령축제,축제기간,2023,축제지 집중률,0.9282175107133173
천안흥타령축제,비축제기간,2023,외부방문자 유입,0.5501841910081757
천안흥타령축제,비축제기간,2023,현지인방문자 유입,0.6845825139918318
천안흥타령축제,비축제기간,2023,내비게이션 검색량,0.5121548323471401
천안흥타령축제,비축제기간,2023,관광소비,0.6879081432456562
천안흥타령축제,비축제기간,2023,축제지 집중률,0.5566210344841894
천안흥타령축제,축제기간,2022,외부방문자 유입,0.7893497848092523
천안흥타령축제,축제기간,2022,현지인방문자 유입,0.9315523465703971
천안흥타령축제,축제기간,2022,내비게이션 검색량,0.5194752774974772
천안흥타령축제,축제기간,2022,관광소비,0.7836863769704723
천안흥타령축제,축제기간,2022,축제지 집중률,0.7774106995830029
천안흥타령축제,비축제기간,2022,외부방문자 유입,0.4528884170924865
천안흥타령축제,비축제기간,2022,현지인방문자 유입,0.6940108303249098
천안흥타령축제,비축제기간,2022,내비게이션 검색량,0.5590817356205853
천안흥타령축제,비축제기간,2022,관광소비,0.7439408397267158
천안흥타령축제,비축제기간,2022,축제지 집중률,0.48572394846322015
천안흥타령축제,축제기간,2019,외부방문자 유입,0.5984900439509323
천안흥타령축제,축제기간,2019,현지인방문자 유입,0.8516717325227964
천안흥타령축제,축제기간,2019,내비게이션 검색량,0.6502325581395348
천안흥타령축제,축제기간,2019,관광소비,0.707543711950464
천안흥타령축제,축제기간,2019,축제지 집중률,0.6236958991677118
천안흥타령축제,비축제기간,2019,외부방문자 유입,0.5432292008325036
천안흥타령축제,비축제기간,2019,현지인방문자 유입,0.8024807795458608
천안흥타령축제,비축제기간,2019,내비게이션 검색량,0.5616666666666666
천안흥타령축제,비축제기간,2019,관광소비,0.6976573264340009
천안흥타령축제,비축제기간,2019,축제지 집중률,0.5917113124326947
천안흥타령축제,축제기간,2018,외부방문자 유입,0.6968575388314421
천안흥타령축제,축제기간,2018,현지인방문자 유입,0.8487044449125764
천안흥타령축제,축제기간,2018,내비게이션 검색량,0.5455133387227162
천안흥타령축제,축제기간,2018,관광소비,0.7432191833522908
천안흥타령축제,축제기간,2018,축제지 집중률,0.7118304257091717
천안흥타령축제,비축제기간,2018,외부방문자 유입,0.48256074839142565
천안흥타령축제,비축제기간,2018,현지인방문자 유입,0.6247788076680009
천안흥타령축제,비축제기간,2018,내비게이션 검색량,0.30329426030719486
천안흥타령축제,비축제기간,2018,관광소비,0.6984852786617588
천안흥타령축제,비축제기간,2018,축제지 집중률,0.5635500309309632
