축제명,그룹명,개최년도,구분명,구분값
청송사과축제,축제기간,2023,외부방문자 유입,0.7160922750265409
청송사과축제,축제기간,2023,현지인방문자 유입,0.8163265306122449
청송사과축제,축제기간,2023,내비게이션 검색량,0.647894469812278
청송사과축제,축제기간,2023,관광소비,0.7576149965021279
청송사과축제,축제기간,2023,축제지 집중률,0.9207525661229401
청송사과축제,비축제기간,2023,외부방문자 유입,0.20690917379629048
청송사과축제,비축제기간,2023,현지인방문자 유입,0.5306486880466472
청송사과축제,비축제기간,2023,내비게이션 검색량,0.0965119228817859
청송사과축제,비축제기간,2023,관광소비,0.5224622157485737
청송사과축제,비축제기간,2023,축제지 집중률,0.5017572501561777
청송사과축제,축제기간,2022,외부방문자 유입,0.7328266341422586
청송사과축제,축제기간,2022,현지인방문자 유입,0.8259269742428531
청송사과축제,축제기간,2022,내비게이션 검색량,0.40475482912332833
청송사과축제,축제기간,2022,관광소비,0.6169576590172651
청송사과축제,축제기간,2022,축제지 집중률,0.938328397061655
청송사과축제,비축제기간,2022,외부방문자 유입,0.2907255364434798
청송사과축제,비축제기간,2022,현지인방문자 유입,0.5415086328898953
청송사과축제,비축제기간,2022,내비게이션 검색량,0.2789747399702823
청송사과축제,비축제기간,2022,관광소비,0.5639888847148676
청송사과축제,비축제기간,2022,축제지 집중률,0.4713800204805093
청송사과축제,축제기간,2019,외부방문자 유입,0.6464985403901763
청송사과축제,축제기간,2019,현지인방문자 유입,0.8764536970567121
청송사과축제,축제기간,2019,내비게이션 검색량,0.5379581151832461
청송사과축제,축제기간,2019,관광소비,0.7215245352039825
청송사과축제,축제기간,2019,축제지 집중률,0.7954254040823145
청송사과축제,비축제기간,2019,외부방문자 유입,0.18503624965056434
청송사과축제,비축제기간,2019,현지인방문자 유입,0.5918880114860015
청송사과축제,비축제기간,2019,내비게이션 검색량,0.22123691099476442
청송사과축제,비축제기간,2019,관광소비,0.4910364413773315
청송사과축제,비축제기간,2019,축제지 집중률,0.462438604640411
청송사과축제,축제기간,2018,외부방문자 유입,0.6870390246587407
청송사과축제,축제기간,2018,현지인방문자 유입,0.899343544857768
청송사과축제,축제기간,2018,내비게이션 검색량,0.6317675159235668
청송사과축제,축제기간,2018,관광소비,0.804439004157477
청송사과축제,축제기간,2018,축제지 집중률,0.9132691658130947
청송사과축제,비축제기간,2018,외부방문자 유입,0.2359111831241744
청송사과축제,비축제기간,2018,현지인방문자 유입,0.656140590809628
청송사과축제,비축제기간,2018,내비게이션 검색량,0.2203921178343949
청송사과축제,비축제기간,2018,관광소비,0.5458770800665061
청송사과축제,비축제기간,2018,축제지 집중률,0.6514138757097041
