축제명,그룹명,개최년도,구분명,구분값
추억의충장축제,축제기간,2023,외부방문자 유입,0.7917033127431978
추억의충장축제,축제기간,2023,현지인방문자 유입,0.8818829626430577
추억의충장축제,축제기간,2023,내비게이션 검색량,0.7024051309460182
추억의충장축제,축제기간,2023,관광소비,0.7590513258812555
추억의충장축제,축제기간,2023,축제지 집중률,0.8893059581717282
추억의충장축제,비축제기간,2023,외부방문자 유입,0.5055270527371238
추억의충장축제,비축제기간,2023,현지인방문자 유입,0.6973466853811272
추억의충장축제,비축제기간,2023,내비게이션 검색량,0.5426376269374665
추억의충장축제,비축제기간,2023,관광소비,0.6873351729426674
추억의충장축제,비축제기간,2023,축제지 집중률,0.6872059393037856
추억의충장축제,축제기간,2022,외부방문자 유입,0.6625814121196729
추억의충장축제,축제기간,2022,현지인방문자 유입,0.8997325270380276
추억의충장축제,축제기간,2022,내비게이션 검색량,0.5876050420168067
추억의충장축제,축제기간,2022,관광소비,0.7890945531880441
추억의충장축제,축제기간,2022,축제지 집중률,0.8821891481481936
추억의충장축제,비축제기간,2022,외부방문자 유입,0.4800623741197803
추억의충장축제,비축제기간,2022,현지인방문자 유입,0.7728166065821608
추억의충장축제,비축제기간,2022,내비게이션 검색량,0.526142331932773
추억의충장축제,비축제기간,2022,관광소비,0.7572094393474358
추억의충장축제,비축제기간,2022,축제지 집중률,0.7248342144299772
추억의충장축제,축제기간,2019,외부방문자 유입,0.831301365115988
추억의충장축제,축제기간,2019,현지인방문자 유입,0.9366103550758642
추억의충장축제,축제기간,2019,내비게이션 검색량,0.7134659525631216
추억의충장축제,축제기간,2019,관광소비,0.7936838610691446
추억의충장축제,축제기간,2019,축제지 집중률,0.9223915900420486
추억의충장축제,비축제기간,2019,외부방문자 유입,0.5125619217931177
추억의충장축제,비축제기간,2019,현지인방문자 유입,0.6830908806507117
추억의충장축제,비축제기간,2019,내비게이션 검색량,0.5842578423871462
추억의충장축제,비축제기간,2019,관광소비,0.7284358367688516
추억의충장축제,비축제기간,2019,축제지 집중률,0.6693567023108032
추억의충장축제,축제기간,2018,외부방문자 유입,0.8513513096263636
추억의충장축제,축제기간,2018,현지인방문자 유입,0.9221823864681007
추억의충장축제,축제기간,2018,내비게이션 검색량,0.5244239631336406
추억의충장축제,축제기간,2018,관광소비,0.6858846420449979
추억의충장축제,축제기간,2018,축제지 집중률,0.9267009603499167
추억의충장축제,비축제기간,2018,외부방문자 유입,0.45489862390341274
추억의충장축제,비축제기간,2018,현지인방문자 유입,0.6526475455046884
추억의충장축제,비축제기간,2018,내비게이션 검색량,0.3612135176651306
추억의충장축제,비축제기간,2018,관광소비,0.5890826877335623
추억의충장축제,비축제기간,2018,축제지 집중률,0.6333816528030904
