읍면동명,목적지명,도로명주소,카테고리,구분,순위
일도1동,탐라문화광장,제주 제주시,테마공원,현지인,1
일도1동,산지천갤러리,제주 제주시 관덕로17길 29-0,전시시설,현지인,2
일도1동,동문공설시장,제주 제주시 동문로 16-0,시장,현지인,3
일도1동,탐라문화제,제주 제주시,기타문화관광지,현지인,4
일도1동,산지천마당,제주 제주시,기타관광,현지인,5
일도1동,케이팝롤러장,제주 제주시 관덕로11길 17-0,기타레저스포츠,현지인,6
일도1동,아라리오뮤지엄동문모텔,제주 제주시 산지로 37-5,전시시설,현지인,7
일도1동,동문공설시장,제주 제주시 동문로 16-0,시장,외지인,1
일도1동,탐라문화광장,제주 제주시,테마공원,외지인,2
일도1동,산지천갤러리,제주 제주시 관덕로17길 29-0,전시시설,외지인,3
일도1동,탐라문화제,제주 제주시,기타문화관광지,외지인,4
일도1동,산지천마당,제주 제주시,기타관광,외지인,5
일도1동,아라리오뮤지엄동문모텔,제주 제주시 산지로 37-5,전시시설,외지인,6
일도1동,케이팝롤러장,제주 제주시 관덕로11길 17-0,기타레저스포츠,외지인,7
일도1동,동문공설시장,제주 제주시 동문로 16-0,시장,전체,1
일도1동,탐라문화광장,제주 제주시,테마공원,전체,2
일도1동,산지천갤러리,제주 제주시 관덕로17길 29-0,전시시설,전체,3
일도1동,탐라문화제,제주 제주시,기타문화관광지,전체,4
일도1동,산지천마당,제주 제주시,기타관광,전체,5
일도1동,케이팝롤러장,제주 제주시 관덕로11길 17-0,기타레저스포츠,전체,6
일도1동,아라리오뮤지엄동문모텔,제주 제주시 산지로 37-5,전시시설,전체,7
