축제명,그룹명,개최년도,구분명,구분값
탐라문화제,축제기간,2023,외부방문자 유입,0.6458087481177265
탐라문화제,축제기간,2023,현지인방문자 유입,0.8049298445202883
탐라문화제,축제기간,2023,내비게이션 검색량,0.6974545454545455
탐라문화제,축제기간,2023,관광소비,0.7781510865556421
탐라문화제,축제기간,2023,축제지 집중률,0.8100252076239965
탐라문화제,비축제기간,2023,외부방문자 유입,0.6045194567033378
탐라문화제,비축제기간,2023,현지인방문자 유입,0.7040671217292378
탐라문화제,비축제기간,2023,내비게이션 검색량,0.5576363636363636
탐라문화제,비축제기간,2023,관광소비,0.7788053956924562
탐라문화제,비축제기간,2023,축제지 집중률,0.7642930456948808
탐라문화제,축제기간,2022,외부방문자 유입,0.8023740743563429
탐라문화제,축제기간,2022,현지인방문자 유입,0.8081281377002151
탐라문화제,축제기간,2022,내비게이션 검색량,0.5678474114441417
탐라문화제,축제기간,2022,관광소비,0.8409986894058306
탐라문화제,축제기간,2022,축제지 집중률,0.7163938689511031
탐라문화제,비축제기간,2022,외부방문자 유입,0.7219612579044463
탐라문화제,비축제기간,2022,현지인방문자 유입,0.7803191489361703
탐라문화제,비축제기간,2022,내비게이션 검색량,0.40197547683923707
탐라문화제,비축제기간,2022,관광소비,0.8114972011845124
탐라문화제,비축제기간,2022,축제지 집중률,0.656032822999988
탐라문화제,축제기간,2019,외부방문자 유입,0.7687605479225124
탐라문화제,축제기간,2019,현지인방문자 유입,0.9002212933366118
탐라문화제,축제기간,2019,내비게이션 검색량,0.427190332326284
탐라문화제,축제기간,2019,관광소비,0.8328222667807521
탐라문화제,축제기간,2019,축제지 집중률,0.7827057933433473
탐라문화제,비축제기간,2019,외부방문자 유입,0.6493231210461468
탐라문화제,비축제기간,2019,현지인방문자 유입,0.6614888123924269
탐라문화제,비축제기간,2019,내비게이션 검색량,0.29599697885196374
탐라문화제,비축제기간,2019,관광소비,0.8090700570605348
탐라문화제,비축제기간,2019,축제지 집중률,0.6725483778360943
탐라문화제,축제기간,2018,외부방문자 유입,0.7705115369665846
탐라문화제,축제기간,2018,현지인방문자 유입,0.7284283848498041
탐라문화제,축제기간,2018,내비게이션 검색량,0.6138211382113821
탐라문화제,축제기간,2018,관광소비,0.7634577366168307
탐라문화제,축제기간,2018,축제지 집중률,0.8187637917046046
탐라문화제,비축제기간,2018,외부방문자 유입,0.6756498745597814
탐라문화제,비축제기간,2018,현지인방문자 유입,0.6302786242925555
탐라문화제,비축제기간,2018,내비게이션 검색량,0.5158536585365854
탐라문화제,비축제기간,2018,관광소비,0.7663954028809626
탐라문화제,비축제기간,2018,축제지 집중률,0.7524110232079626
