축제명,그룹명,개최년도,구분명,구분값
탐라입춘굿축제,축제기간,2023,외부방문자 유입,0.7524235969221406
탐라입춘굿축제,축제기간,2023,현지인방문자 유입,0.8336983501241058
탐라입춘굿축제,축제기간,2023,내비게이션 검색량,0.5829201101928375
탐라입춘굿축제,축제기간,2023,관광소비,0.7059252004797663
탐라입춘굿축제,축제기간,2023,축제지 집중률,0.8868798590547602
탐라입춘굿축제,비축제기간,2023,외부방문자 유입,0.7222087099084028
탐라입춘굿축제,비축제기간,2023,현지인방문자 유입,0.7570630749014454
탐라입춘굿축제,비축제기간,2023,내비게이션 검색량,0.5689393939393939
탐라입춘굿축제,비축제기간,2023,관광소비,0.7318592855722799
탐라입춘굿축제,비축제기간,2023,축제지 집중률,0.8029906949067473
탐라입춘굿축제,축제기간,2022,외부방문자 유입,0.0
탐라입춘굿축제,축제기간,2022,현지인방문자 유입,0.0
탐라입춘굿축제,축제기간,2022,내비게이션 검색량,0.0
탐라입춘굿축제,축제기간,2022,관광소비,0.0
탐라입춘굿축제,축제기간,2022,축제지 집중률,0.0
탐라입춘굿축제,비축제기간,2022,외부방문자 유입,0.0
탐라입춘굿축제,비축제기간,2022,현지인방문자 유입,0.0
탐라입춘굿축제,비축제기간,2022,내비게이션 검색량,0.0
탐라입춘굿축제,비축제기간,2022,관광소비,0.0
탐라입춘굿축제,비축제기간,2022,축제지 집중률,0.0
탐라입춘굿축제,축제기간,2019,외부방문자 유입,0.7500847278541324
탐라입춘굿축제,축제기간,2019,현지인방문자 유입,0.8968986356892122
탐라입춘굿축제,축제기간,2019,내비게이션 검색량,0.4648033126293996
탐라입춘굿축제,축제기간,2019,관광소비,0.8246049729318917
탐라입춘굿축제,축제기간,2019,축제지 집중률,0.8433032575265738
탐라입춘굿축제,비축제기간,2019,외부방문자 유입,0.6272505213255025
탐라입춘굿축제,비축제기간,2019,현지인방문자 유입,0.7625303079651141
탐라입춘굿축제,비축제기간,2019,내비게이션 검색량,0.43952726017943405
탐라입춘굿축제,비축제기간,2019,관광소비,0.7552520382038826
탐라입춘굿축제,비축제기간,2019,축제지 집중률,0.7534323804696056
탐라입춘굿축제,축제기간,2018,외부방문자 유입,0.41182132017632483
탐라입춘굿축제,축제기간,2018,현지인방문자 유입,0.512067840834964
탐라입춘굿축제,축제기간,2018,내비게이션 검색량,0.3474823137744486
탐라입춘굿축제,축제기간,2018,관광소비,0.6171051890423752
탐라입춘굿축제,축제기간,2018,축제지 집중률,0.6861037203105325
탐라입춘굿축제,비축제기간,2018,외부방문자 유입,0.46516385429090984
탐라입춘굿축제,비축제기간,2018,현지인방문자 유입,0.5373450750163079
탐라입춘굿축제,비축제기간,2018,내비게이션 검색량,0.3630878069080316
탐라입춘굿축제,비축제기간,2018,관광소비,0.677873668641808
탐라입춘굿축제,비축제기간,2018,축제지 집중률,0.620844440690023
