읍면동명,목적지명,도로명주소,카테고리,구분,순위
문곡소도동,태백산국립공원유일사탐방지원센터,강원 태백시 태백산로 4246-1,기타관광,현지인,1
문곡소도동,태백산국립공원당골탐방지원센터,강원 태백시,기타관광,현지인,2
문곡소도동,석탄박물관,강원 태백시 천제단길 195-0,전시시설,현지인,3
문곡소도동,유일사,강원 태백시 태백산로 4246-167,종교성지,현지인,4
문곡소도동,태백산,강원 태백시,자연경관(산),현지인,5
문곡소도동,태백산국립공원백단사탐방지원센터,강원 태백시 백단사길 40-0,기타관광,현지인,5
문곡소도동,화방재,강원 태백시,자연경관(산),현지인,7
문곡소도동,불정암,강원 태백시 천제단길 214-0,종교성지,현지인,7
문곡소도동,태백산국립공원유일사탐방지원센터,강원 태백시 태백산로 4246-1,기타관광,외지인,1
문곡소도동,유일사,강원 태백시 태백산로 4246-167,종교성지,외지인,2
문곡소도동,석탄박물관,강원 태백시 천제단길 195-0,전시시설,외지인,3
문곡소도동,태백산국립공원당골탐방지원센터,강원 태백시,기타관광,외지인,4
문곡소도동,태백산,강원 태백시,자연경관(산),외지인,5
문곡소도동,태백산국립공원백단사탐방지원센터,강원 태백시 백단사길 40-0,기타관광,외지인,6
문곡소도동,화방재,강원 태백시,자연경관(산),외지인,7
문곡소도동,불정암,강원 태백시 천제단길 214-0,종교성지,외지인,8
문곡소도동,태백체험공원,강원 태백시 소도길 9-11,도시공원,외지인,9
문곡소도동,백단사,강원 태백시 백단사길 124-0,종교성지,외지인,10
문곡소도동,태백시청소년수련관,강원 태백시 천제단길 148-0,육상레저스포츠,외지인,10
문곡소도동,태백산천제단,강원 태백시 태백산로 0-0,역사유적지,외지인,10
문곡소도동,팔보암,강원 태백시 태백산로 4196-24,종교성지,외지인,13
문곡소도동,약수암,강원 태백시 백단사길 65-0,종교성지,외지인,14
문곡소도동,만덕사,강원 태백시 천제단길 192-0,종교성지,외지인,14
문곡소도동,혈암사,강원 태백시 태백산로 4507-0,종교성지,외지인,14
문곡소도동,태백산국립공원유일사탐방지원센터,강원 태백시 태백산로 4246-1,기타관광,전체,1
문곡소도동,유일사,강원 태백시 태백산로 4246-167,종교성지,전체,2
문곡소도동,석탄박물관,강원 태백시 천제단길 195-0,전시시설,전체,3
문곡소도동,태백산국립공원당골탐방지원센터,강원 태백시,기타관광,전체,4
문곡소도동,태백산,강원 태백시,자연경관(산),전체,5
문곡소도동,태백산국립공원백단사탐방지원센터,강원 태백시 백단사길 40-0,기타관광,전체,6
문곡소도동,화방재,강원 태백시,자연경관(산),전체,7
문곡소도동,불정암,강원 태백시 천제단길 214-0,종교성지,전체,8
문곡소도동,태백체험공원,강원 태백시 소도길 9-11,도시공원,전체,9
문곡소도동,백단사,강원 태백시 백단사길 124-0,종교성지,전체,10
문곡소도동,태백시청소년수련관,강원 태백시 천제단길 148-0,육상레저스포츠,전체,10
문곡소도동,태백산천제단,강원 태백시 태백산로 0-0,역사유적지,전체,10
문곡소도동,팔보암,강원 태백시 태백산로 4196-24,종교성지,전체,13
문곡소도동,약수암,강원 태백시 백단사길 65-0,종교성지,전체,14
문곡소도동,만덕사,강원 태백시 천제단길 192-0,종교성지,전체,14
문곡소도동,혈암사,강원 태백시 태백산로 4507-0,종교성지,전체,14
