축제명,그룹명,개최년도,구분명,구분값
태백산눈축제,축제기간,2023,외부방문자 유입,0.5627507443661011
태백산눈축제,축제기간,2023,현지인방문자 유입,0.5755846214823622
태백산눈축제,축제기간,2023,내비게이션 검색량,0.49119999999999997
태백산눈축제,축제기간,2023,관광소비,0.5655764803400333
태백산눈축제,축제기간,2023,축제지 집중률,0.8264920526233852
태백산눈축제,비축제기간,2023,외부방문자 유입,0.20846253957636177
태백산눈축제,비축제기간,2023,현지인방문자 유입,0.49544193420531113
태백산눈축제,비축제기간,2023,내비게이션 검색량,0.26755
태백산눈축제,비축제기간,2023,관광소비,0.47795912362788884
태백산눈축제,비축제기간,2023,축제지 집중률,0.4136862211068125
태백산눈축제,축제기간,2022,외부방문자 유입,0.0
태백산눈축제,축제기간,2022,현지인방문자 유입,0.0
태백산눈축제,축제기간,2022,내비게이션 검색량,0.0
태백산눈축제,축제기간,2022,관광소비,0.0
태백산눈축제,축제기간,2022,축제지 집중률,0.0
태백산눈축제,비축제기간,2022,외부방문자 유입,0.0
태백산눈축제,비축제기간,2022,현지인방문자 유입,0.0
태백산눈축제,비축제기간,2022,내비게이션 검색량,0.0
태백산눈축제,비축제기간,2022,관광소비,0.0
태백산눈축제,비축제기간,2022,축제지 집중률,0.0
태백산눈축제,축제기간,2019,외부방문자 유입,0.34068240667226546
태백산눈축제,축제기간,2019,현지인방문자 유입,0.8603028815817149
태백산눈축제,축제기간,2019,내비게이션 검색량,0.3370242214532872
태백산눈축제,축제기간,2019,관광소비,0.5844116562886227
태백산눈축제,축제기간,2019,축제지 집중률,0.6872663520723484
태백산눈축제,비축제기간,2019,외부방문자 유입,0.17128335395573302
태백산눈축제,비축제기간,2019,현지인방문자 유입,0.7897590502231882
태백산눈축제,비축제기간,2019,내비게이션 검색량,0.19788108791903858
태백산눈축제,비축제기간,2019,관광소비,0.3998417068984298
태백산눈축제,비축제기간,2019,축제지 집중률,0.4510746945339257
태백산눈축제,축제기간,2018,외부방문자 유입,0.28191365644305005
태백산눈축제,축제기간,2018,현지인방문자 유입,0.7101535087719297
태백산눈축제,축제기간,2018,내비게이션 검색량,0.2825112107623318
태백산눈축제,축제기간,2018,관광소비,0.47563393546313915
태백산눈축제,축제기간,2018,축제지 집중률,0.6837900589160667
태백산눈축제,비축제기간,2018,외부방문자 유입,0.16935465855385617
태백산눈축제,비축제기간,2018,현지인방문자 유입,0.6668500797448166
태백산눈축제,비축제기간,2018,내비게이션 검색량,0.1790575092439619
태백산눈축제,비축제기간,2018,관광소비,0.3883842732407067
태백산눈축제,비축제기간,2018,축제지 집중률,0.48259599468428677
