축제명,그룹명,개최년도,구분명,구분값
통영한산대첩축제,축제기간,2023,외부방문자 유입,0.3114094433128999
통영한산대첩축제,축제기간,2023,현지인방문자 유입,0.6901926371651832
통영한산대첩축제,축제기간,2023,내비게이션 검색량,0.33780391347707966
통영한산대첩축제,축제기간,2023,관광소비,0.6880684082874897
통영한산대첩축제,축제기간,2023,축제지 집중률,0.7436809378961659
통영한산대첩축제,비축제기간,2023,외부방문자 유입,0.22279622687303413
통영한산대첩축제,비축제기간,2023,현지인방문자 유입,0.6769044335798755
통영한산대첩축제,비축제기간,2023,내비게이션 검색량,0.22418239966986486
통영한산대첩축제,비축제기간,2023,관광소비,0.6295801778949788
통영한산대첩축제,비축제기간,2023,축제지 집중률,0.5995787194880451
통영한산대첩축제,축제기간,2022,외부방문자 유입,0.6123633635409362
통영한산대첩축제,축제기간,2022,현지인방문자 유입,0.7921175332101699
통영한산대첩축제,축제기간,2022,내비게이션 검색량,0.5164602629479308
통영한산대첩축제,축제기간,2022,관광소비,0.714459078513411
통영한산대첩축제,축제기간,2022,축제지 집중률,0.8081841614136654
통영한산대첩축제,비축제기간,2022,외부방문자 유입,0.40138501989824477
통영한산대첩축제,비축제기간,2022,현지인방문자 유입,0.6960169789742237
통영한산대첩축제,비축제기간,2022,내비게이션 검색량,0.31496513685086897
통영한산대첩축제,비축제기간,2022,관광소비,0.637751424756875
통영한산대첩축제,비축제기간,2022,축제지 집중률,0.6325127253920056
통영한산대첩축제,축제기간,2019,외부방문자 유입,0.325211759656186
통영한산대첩축제,축제기간,2019,현지인방문자 유입,0.6446837146702558
통영한산대첩축제,축제기간,2019,내비게이션 검색량,0.3442722117202269
통영한산대첩축제,축제기간,2019,관광소비,0.6456668143666091
통영한산대첩축제,축제기간,2019,축제지 집중률,0.5478513261087335
통영한산대첩축제,비축제기간,2019,외부방문자 유입,0.2766738385139063
통영한산대첩축제,비축제기간,2019,현지인방문자 유입,0.6696837146702558
통영한산대첩축제,비축제기간,2019,내비게이션 검색량,0.2631758034026465
통영한산대첩축제,비축제기간,2019,관광소비,0.5960117837863171
통영한산대첩축제,비축제기간,2019,축제지 집중률,0.5138467694642461
통영한산대첩축제,축제기간,2018,외부방문자 유입,0.6152547790275985
통영한산대첩축제,축제기간,2018,현지인방문자 유입,0.9179325559407501
통영한산대첩축제,축제기간,2018,내비게이션 검색량,0.47084796788760663
통영한산대첩축제,축제기간,2018,관광소비,0.676095566000329
통영한산대첩축제,축제기간,2018,축제지 집중률,0.9446977658595279
통영한산대첩축제,비축제기간,2018,외부방문자 유입,0.3765389698199028
통영한산대첩축제,비축제기간,2018,현지인방문자 유입,0.6223684210526316
통영한산대첩축제,비축제기간,2018,내비게이션 검색량,0.34632463622679377
통영한산대첩축제,비축제기간,2018,관광소비,0.6368116235071636
통영한산대첩축제,비축제기간,2018,축제지 집중률,0.6589701696934036
