축제명,그룹명,개최년도,구분명,구분값
평창송어축제,축제기간,2023,외부방문자 유입,0.3241020036742686
평창송어축제,축제기간,2023,현지인방문자 유입,0.6967081078848457
평창송어축제,축제기간,2023,내비게이션 검색량,0.12862821766047572
평창송어축제,축제기간,2023,관광소비,0.5469625896761967
평창송어축제,축제기간,2023,축제지 집중률,0.4714400336562299
평창송어축제,비축제기간,2023,외부방문자 유입,0.31614462405198707
평창송어축제,비축제기간,2023,현지인방문자 유입,0.7982793090280118
평창송어축제,비축제기간,2023,내비게이션 검색량,0.09355160803436666
평창송어축제,비축제기간,2023,관광소비,0.35591485039220233
평창송어축제,비축제기간,2023,축제지 집중률,0.46199790995958245
평창송어축제,축제기간,2022,외부방문자 유입,0.0
평창송어축제,축제기간,2022,현지인방문자 유입,0.0
평창송어축제,축제기간,2022,내비게이션 검색량,0.0
평창송어축제,축제기간,2022,관광소비,0.0
평창송어축제,축제기간,2022,축제지 집중률,0.0
평창송어축제,비축제기간,2022,외부방문자 유입,0.0
평창송어축제,비축제기간,2022,현지인방문자 유입,0.0
평창송어축제,비축제기간,2022,내비게이션 검색량,0.0
평창송어축제,비축제기간,2022,관광소비,0.0
평창송어축제,비축제기간,2022,축제지 집중률,0.0
평창송어축제,축제기간,2019,외부방문자 유입,0.2948392531537815
평창송어축제,축제기간,2019,현지인방문자 유입,0.5786247699584784
평창송어축제,축제기간,2019,내비게이션 검색량,0.086170405335784
평창송어축제,축제기간,2019,관광소비,0.3673170377085977
평창송어축제,축제기간,2019,축제지 집중률,0.6470505681579308
평창송어축제,비축제기간,2019,외부방문자 유입,0.40227972085355246
평창송어축제,비축제기간,2019,현지인방문자 유입,0.8904077352023329
평창송어축제,비축제기간,2019,내비게이션 검색량,0.07624381623484182
평창송어축제,비축제기간,2019,관광소비,0.29334650904507015
평창송어축제,비축제기간,2019,축제지 집중률,0.696940838895546
평창송어축제,축제기간,2018,외부방문자 유입,0.0
평창송어축제,축제기간,2018,현지인방문자 유입,0.0
평창송어축제,축제기간,2018,내비게이션 검색량,0.0
평창송어축제,축제기간,2018,관광소비,0.0
평창송어축제,축제기간,2018,축제지 집중률,0.0
평창송어축제,비축제기간,2018,외부방문자 유입,0.0
평창송어축제,비축제기간,2018,현지인방문자 유입,0.0
평창송어축제,비축제기간,2018,내비게이션 검색량,0.0
평창송어축제,비축제기간,2018,관광소비,0.0
평창송어축제,비축제기간,2018,축제지 집중률,0.0
