축제명,그룹명,개최년도,구분명,구분값
평창효석문화제,축제기간,2023,외부방문자 유입,0.48463061659419815
평창효석문화제,축제기간,2023,현지인방문자 유입,0.8913638508730534
평창효석문화제,축제기간,2023,내비게이션 검색량,0.4286088322569384
평창효석문화제,축제기간,2023,관광소비,0.42640505069000195
평창효석문화제,축제기간,2023,축제지 집중률,0.8809022953420284
평창효석문화제,비축제기간,2023,외부방문자 유입,0.4450419556540866
평창효석문화제,비축제기간,2023,현지인방문자 유입,0.7294950448324682
평창효석문화제,비축제기간,2023,내비게이션 검색량,0.4402862628731018
평창효석문화제,비축제기간,2023,관광소비,0.5451286574452491
평창효석문화제,비축제기간,2023,축제지 집중률,0.6402755587363839
평창효석문화제,축제기간,2022,외부방문자 유입,0.0
평창효석문화제,축제기간,2022,현지인방문자 유입,0.0
평창효석문화제,축제기간,2022,내비게이션 검색량,0.0
평창효석문화제,축제기간,2022,관광소비,0.0
평창효석문화제,축제기간,2022,축제지 집중률,0.0
평창효석문화제,비축제기간,2022,외부방문자 유입,0.0
평창효석문화제,비축제기간,2022,현지인방문자 유입,0.0
평창효석문화제,비축제기간,2022,내비게이션 검색량,0.0
평창효석문화제,비축제기간,2022,관광소비,0.0
평창효석문화제,비축제기간,2022,축제지 집중률,0.0
평창효석문화제,축제기간,2019,외부방문자 유입,0.4498695978233613
평창효석문화제,축제기간,2019,현지인방문자 유입,0.9282922549254207
평창효석문화제,축제기간,2019,내비게이션 검색량,0.28850464297150175
평창효석문화제,축제기간,2019,관광소비,0.4077231896933619
평창효석문화제,축제기간,2019,축제지 집중률,0.7381931168287831
평창효석문화제,비축제기간,2019,외부방문자 유입,0.35046311712000583
평창효석문화제,비축제기간,2019,현지인방문자 유입,0.7766411422190316
평창효석문화제,비축제기간,2019,내비게이션 검색량,0.3233135873625787
평창효석문화제,비축제기간,2019,관광소비,0.46276551712867936
평창효석문화제,비축제기간,2019,축제지 집중률,0.5805562761258659
평창효석문화제,축제기간,2018,외부방문자 유입,0.49176110849460225
평창효석문화제,축제기간,2018,현지인방문자 유입,0.8852469490767363
평창효석문화제,축제기간,2018,내비게이션 검색량,0.2699778582930757
평창효석문화제,축제기간,2018,관광소비,0.37198676263561853
평창효석문화제,축제기간,2018,축제지 집중률,0.9029488834100358
평창효석문화제,비축제기간,2018,외부방문자 유입,0.3265835889733243
평창효석문화제,비축제기간,2018,현지인방문자 유입,0.658616062871382
평창효석문화제,비축제기간,2018,내비게이션 검색량,0.28960346215780997
평창효석문화제,비축제기간,2018,관광소비,0.44109242778102864
평창효석문화제,비축제기간,2018,축제지 집중률,0.5992214319564777
