읍면동명,목적지명,도로명주소,카테고리,구분,순위
해도동,포항고속버스터미널,경북 포항시 남구 중앙로 166-0,교통시설,현지인,1
두호동,영일대해수욕장,경북 포항시 북구,자연경관(하천/해양),현지인,2
해도동,강변체육공원,경북 포항시 남구,도시공원,현지인,3
해도동,대해불빛시장,경북 포항시 남구 중앙로67번길 7-0,시장,현지인,4
해도동,포항큰동해시장,경북 포항시 남구 중앙로134번길 29-8,시장,현지인,5
해도동,포항운하,경북 포항시 남구,기타관광,현지인,6
두호동,영일대전망대,경북 포항시 북구,랜드마크관광,현지인,7
해도동,동해종합시장,경북 포항시 남구 중앙로134번길 27-0,시장,현지인,8
해도동,해도근린공원,경북 포항시 남구,도시공원,현지인,9
두호동,두호항,경북 포항시 북구,자연경관(하천/해양),현지인,9
두호동,두호탁구장,경북 포항시 북구 학전로 103-0,기타레저스포츠,현지인,9
두호동,라팡키즈카페,경북 포항시 북구 학전로111번길 37-0,테마공원,현지인,9
두호동,영일대해수욕장,경북 포항시 북구,자연경관(하천/해양),외지인,1
해도동,강변체육공원,경북 포항시 남구,도시공원,외지인,2
해도동,포항고속버스터미널,경북 포항시 남구 중앙로 166-0,교통시설,외지인,3
두호동,영일대전망대,경북 포항시 북구,랜드마크관광,외지인,4
해도동,포항운하,경북 포항시 남구,기타관광,외지인,5
해도동,대해불빛시장,경북 포항시 남구 중앙로67번길 7-0,시장,외지인,6
해도동,포항큰동해시장,경북 포항시 남구 중앙로134번길 29-8,시장,외지인,7
해도동,해도근린공원,경북 포항시 남구,도시공원,외지인,8
해도동,동해종합시장,경북 포항시 남구 중앙로134번길 27-0,시장,외지인,8
해도동,강변체육공원축구장,경북 포항시 남구,레저스포츠시설,외지인,10
두호동,두호항,경북 포항시 북구,자연경관(하천/해양),외지인,11
두호동,두호탁구장,경북 포항시 북구 학전로 103-0,기타레저스포츠,외지인,12
두호동,라팡키즈카페,경북 포항시 북구 학전로111번길 37-0,테마공원,외지인,12
두호동,영일대해수욕장,경북 포항시 북구,자연경관(하천/해양),전체,1
해도동,강변체육공원,경북 포항시 남구,도시공원,전체,2
해도동,포항고속버스터미널,경북 포항시 남구 중앙로 166-0,교통시설,전체,3
두호동,영일대전망대,경북 포항시 북구,랜드마크관광,전체,4
해도동,포항운하,경북 포항시 남구,기타관광,전체,5
해도동,대해불빛시장,경북 포항시 남구 중앙로67번길 7-0,시장,전체,6
해도동,포항큰동해시장,경북 포항시 남구 중앙로134번길 29-8,시장,전체,7
해도동,동해종합시장,경북 포항시 남구 중앙로134번길 27-0,시장,전체,8
해도동,해도근린공원,경북 포항시 남구,도시공원,전체,9
해도동,강변체육공원축구장,경북 포항시 남구,레저스포츠시설,전체,10
두호동,두호항,경북 포항시 북구,자연경관(하천/해양),전체,10
두호동,두호탁구장,경북 포항시 북구 학전로 103-0,기타레저스포츠,전체,12
두호동,라팡키즈카페,경북 포항시 북구 학전로111번길 37-0,테마공원,전체,12
