축제명,그룹명,개최년도,구분명,구분값
포항국제불빛축제,축제기간,2023,외부방문자 유입,0.5084316935250106
포항국제불빛축제,축제기간,2023,현지인방문자 유입,0.703355659968676
포항국제불빛축제,축제기간,2023,내비게이션 검색량,0.611879160266257
포항국제불빛축제,축제기간,2023,관광소비,0.7068932992601162
포항국제불빛축제,축제기간,2023,축제지 집중률,0.6974327153996408
포항국제불빛축제,비축제기간,2023,외부방문자 유입,0.0813894537904882
포항국제불빛축제,비축제기간,2023,현지인방문자 유입,0.35221933419974005
포항국제불빛축제,비축제기간,2023,내비게이션 검색량,0.324820788530466
포항국제불빛축제,비축제기간,2023,관광소비,0.673821589203177
포항국제불빛축제,비축제기간,2023,축제지 집중률,0.16365955687148537
포항국제불빛축제,축제기간,2022,외부방문자 유입,0.0
포항국제불빛축제,축제기간,2022,현지인방문자 유입,0.0
포항국제불빛축제,축제기간,2022,내비게이션 검색량,0.0
포항국제불빛축제,축제기간,2022,관광소비,0.0
포항국제불빛축제,축제기간,2022,축제지 집중률,0.0
포항국제불빛축제,비축제기간,2022,외부방문자 유입,0.0
포항국제불빛축제,비축제기간,2022,현지인방문자 유입,0.0
포항국제불빛축제,비축제기간,2022,내비게이션 검색량,0.0
포항국제불빛축제,비축제기간,2022,관광소비,0.0
포항국제불빛축제,비축제기간,2022,축제지 집중률,0.0
포항국제불빛축제,축제기간,2019,외부방문자 유입,0.503056475609532
포항국제불빛축제,축제기간,2019,현지인방문자 유입,0.6710901513489801
포항국제불빛축제,축제기간,2019,내비게이션 검색량,0.46680716543730244
포항국제불빛축제,축제기간,2019,관광소비,0.7453109651322601
포항국제불빛축제,축제기간,2019,축제지 집중률,0.6649517958573065
포항국제불빛축제,비축제기간,2019,외부방문자 유입,0.11420692236166745
포항국제불빛축제,비축제기간,2019,현지인방문자 유입,0.3552679681216641
포항국제불빛축제,비축제기간,2019,내비게이션 검색량,0.07022743238496662
포항국제불빛축제,비축제기간,2019,관광소비,0.7138691482149497
포항국제불빛축제,비축제기간,2019,축제지 집중률,0.19111197103040845
포항국제불빛축제,축제기간,2018,외부방문자 유입,0.4366857557971777
포항국제불빛축제,축제기간,2018,현지인방문자 유입,0.6558043403375818
포항국제불빛축제,축제기간,2018,내비게이션 검색량,0.4174151525539938
포항국제불빛축제,축제기간,2018,관광소비,0.6348374237658109
포항국제불빛축제,축제기간,2018,축제지 집중률,0.6686594833981743
포항국제불빛축제,비축제기간,2018,외부방문자 유입,0.18196543928196807
포항국제불빛축제,비축제기간,2018,현지인방문자 유입,0.4724379951774027
포항국제불빛축제,비축제기간,2018,내비게이션 검색량,0.23117072334590333
포항국제불빛축제,비축제기간,2018,관광소비,0.5886690389114927
포항국제불빛축제,비축제기간,2018,축제지 집중률,0.3570702783478888
