축제명,그룹명,개최년도,구분명,구분값
하동야생차문화축제,축제기간,2022,외부방문자 유입,0.21376817232187884
하동야생차문화축제,축제기간,2022,현지인방문자 유입,0.8127253446447508
하동야생차문화축제,축제기간,2022,내비게이션 검색량,0.10425261013496308
하동야생차문화축제,축제기간,2022,관광소비,0.6377182436220827
하동야생차문화축제,축제기간,2022,축제지 집중률,0.4511693035623023
하동야생차문화축제,비축제기간,2022,외부방문자 유입,0.14109171323597516
하동야생차문화축제,비축제기간,2022,현지인방문자 유입,0.5147136797454931
하동야생차문화축제,비축제기간,2022,내비게이션 검색량,0.07803242509124862
하동야생차문화축제,비축제기간,2022,관광소비,0.5194261338416855
하동야생차문화축제,비축제기간,2022,축제지 집중률,0.42542977771870905
하동야생차문화축제,축제기간,2019,외부방문자 유입,0.17564542470741576
하동야생차문화축제,축제기간,2019,현지인방문자 유입,0.8692848769050411
하동야생차문화축제,축제기간,2019,내비게이션 검색량,0.09984136426730121
하동야생차문화축제,축제기간,2019,관광소비,0.4751872582230031
하동야생차문화축제,축제기간,2019,축제지 집중률,0.49377455397853615
하동야생차문화축제,비축제기간,2019,외부방문자 유입,0.1417335207468833
하동야생차문화축제,비축제기간,2019,현지인방문자 유입,0.440760550996483
하동야생차문화축제,비축제기간,2019,내비게이션 검색량,0.09823641681538767
하동야생차문화축제,비축제기간,2019,관광소비,0.5019039003328868
하동야생차문화축제,비축제기간,2019,축제지 집중률,0.4148874740426717
하동야생차문화축제,축제기간,2018,외부방문자 유입,0.27637238978475254
하동야생차문화축제,축제기간,2018,현지인방문자 유입,0.880901287553648
하동야생차문화축제,축제기간,2018,내비게이션 검색량,0.17384284176533907
하동야생차문화축제,축제기간,2018,관광소비,0.6251101265676471
하동야생차문화축제,축제기간,2018,축제지 집중률,0.47174949094879454
하동야생차문화축제,비축제기간,2018,외부방문자 유입,0.14520820745356075
하동야생차문화축제,비축제기간,2018,현지인방문자 유입,0.47138769670958514
하동야생차문화축제,비축제기간,2018,내비게이션 검색량,0.08045445371367062
하동야생차문화축제,비축제기간,2018,관광소비,0.5163736002398037
하동야생차문화축제,비축제기간,2018,축제지 집중률,0.40466839185579306
