축제명,그룹명,개최년도,구분명,구분값
한산모시문화제,축제기간,2023,외부방문자 유입,0.7492586885807224
한산모시문화제,축제기간,2023,현지인방문자 유입,0.9704524469067406
한산모시문화제,축제기간,2023,내비게이션 검색량,0.47888888888888886
한산모시문화제,축제기간,2023,관광소비,0.5402902417691496
한산모시문화제,축제기간,2023,축제지 집중률,0.953297710702055
한산모시문화제,비축제기간,2023,외부방문자 유입,0.20239446523344826
한산모시문화제,비축제기간,2023,현지인방문자 유입,0.3771641274238227
한산모시문화제,비축제기간,2023,내비게이션 검색량,0.07361111111111111
한산모시문화제,비축제기간,2023,관광소비,0.5645488719387137
한산모시문화제,비축제기간,2023,축제지 집중률,0.25624565587260795
한산모시문화제,축제기간,2022,외부방문자 유입,0.8112662326358667
한산모시문화제,축제기간,2022,현지인방문자 유입,0.7913214990138067
한산모시문화제,축제기간,2022,내비게이션 검색량,0.6558752997601919
한산모시문화제,축제기간,2022,관광소비,0.5275039232366254
한산모시문화제,축제기간,2022,축제지 집중률,0.8660732514048083
한산모시문화제,비축제기간,2022,외부방문자 유입,0.1775294479453168
한산모시문화제,비축제기간,2022,현지인방문자 유입,0.21745562130177515
한산모시문화제,비축제기간,2022,내비게이션 검색량,0.1022931654676259
한산모시문화제,비축제기간,2022,관광소비,0.5325671710003559
한산모시문화제,비축제기간,2022,축제지 집중률,0.19653575760147127
한산모시문화제,축제기간,2019,외부방문자 유입,0.5906057826468916
한산모시문화제,축제기간,2019,현지인방문자 유입,0.7211238293444329
한산모시문화제,축제기간,2019,내비게이션 검색량,0.3677474402730375
한산모시문화제,축제기간,2019,관광소비,0.5717771437045542
한산모시문화제,축제기간,2019,축제지 집중률,0.8811865482378588
한산모시문화제,비축제기간,2019,외부방문자 유입,0.1402907149501318
한산모시문화제,비축제기간,2019,현지인방문자 유입,0.24673191987513007
한산모시문화제,비축제기간,2019,내비게이션 검색량,0.07273890784982935
한산모시문화제,비축제기간,2019,관광소비,0.5362074154575879
한산모시문화제,비축제기간,2019,축제지 집중률,0.2458104099509596
한산모시문화제,축제기간,2018,외부방문자 유입,0.6720423324922905
한산모시문화제,축제기간,2018,현지인방문자 유입,0.6884847080630213
한산모시문화제,축제기간,2018,내비게이션 검색량,0.4907142857142857
한산모시문화제,축제기간,2018,관광소비,0.5172254361568458
한산모시문화제,축제기간,2018,축제지 집중률,0.820885148029282
한산모시문화제,비축제기간,2018,외부방문자 유입,0.1255878539388842
한산모시문화제,비축제기간,2018,현지인방문자 유입,0.20996003243744207
한산모시문화제,비축제기간,2018,내비게이션 검색량,0.07669642857142857
한산모시문화제,비축제기간,2018,관광소비,0.49862716842450183
한산모시문화제,비축제기간,2018,축제지 집중률,0.17792484661505792
