축제명,그룹명,개최년도,구분명,구분값
한성백제문화제,축제기간,2023,외부방문자 유입,0.6940389080174518
한성백제문화제,축제기간,2023,현지인방문자 유입,0.933239008541634
한성백제문화제,축제기간,2023,내비게이션 검색량,0.6755973931933381
한성백제문화제,축제기간,2023,관광소비,0.5651039438516446
한성백제문화제,축제기간,2023,축제지 집중률,0.6508097479306821
한성백제문화제,비축제기간,2023,외부방문자 유입,0.53300843460095
한성백제문화제,비축제기간,2023,현지인방문자 유입,0.7430042446156264
한성백제문화제,비축제기간,2023,내비게이션 검색량,0.5321325126719768
한성백제문화제,비축제기간,2023,관광소비,0.5609574276068177
한성백제문화제,비축제기간,2023,축제지 집중률,0.5387530164201589
한성백제문화제,축제기간,2022,외부방문자 유입,0.8333199147738491
한성백제문화제,축제기간,2022,현지인방문자 유입,0.9068520932927712
한성백제문화제,축제기간,2022,내비게이션 검색량,0.7953216374269005
한성백제문화제,축제기간,2022,관광소비,0.7809602734358032
한성백제문화제,축제기간,2022,축제지 집중률,0.8930459501124022
한성백제문화제,비축제기간,2022,외부방문자 유입,0.49684839208298887
한성백제문화제,비축제기간,2022,현지인방문자 유입,0.8050123134868898
한성백제문화제,비축제기간,2022,내비게이션 검색량,0.46967362098941046
한성백제문화제,비축제기간,2022,관광소비,0.6180263299572623
한성백제문화제,비축제기간,2022,축제지 집중률,0.5564000326670575
한성백제문화제,축제기간,2019,외부방문자 유입,0.4965812547568515
한성백제문화제,축제기간,2019,현지인방문자 유입,0.7754762818053957
한성백제문화제,축제기간,2019,내비게이션 검색량,0.7142701525054466
한성백제문화제,축제기간,2019,관광소비,0.7943042783375395
한성백제문화제,축제기간,2019,축제지 집중률,0.45019451899710555
한성백제문화제,비축제기간,2019,외부방문자 유입,0.4458653120941421
한성백제문화제,비축제기간,2019,현지인방문자 유입,0.6698392149341517
한성백제문화제,비축제기간,2019,내비게이션 검색량,0.550068082788671
한성백제문화제,비축제기간,2019,관광소비,0.746019215640711
한성백제문화제,비축제기간,2019,축제지 집중률,0.45942766470537777
한성백제문화제,축제기간,2018,외부방문자 유입,0.4769373584666323
한성백제문화제,축제기간,2018,현지인방문자 유입,0.7436320624965617
한성백제문화제,축제기간,2018,내비게이션 검색량,0.6329201101928374
한성백제문화제,축제기간,2018,관광소비,0.7683508365171177
한성백제문화제,축제기간,2018,축제지 집중률,0.4758846209211238
한성백제문화제,비축제기간,2018,외부방문자 유입,0.4598865967270206
한성백제문화제,비축제기간,2018,현지인방문자 유입,0.6807572756780547
한성백제문화제,비축제기간,2018,내비게이션 검색량,0.48478391873278237
한성백제문화제,비축제기간,2018,관광소비,0.7906261899442366
한성백제문화제,비축제기간,2018,축제지 집중률,0.5037197997396853
