축제명,그룹명,개최년도,구분명,구분값
함평나비축제,축제기간,2023,외부방문자 유입,0.5235555674527138
함평나비축제,축제기간,2023,현지인방문자 유입,0.7824095585794888
함평나비축제,축제기간,2023,내비게이션 검색량,0.29870073624945864
함평나비축제,축제기간,2023,관광소비,0.5333746155332596
함평나비축제,축제기간,2023,축제지 집중률,0.8859521131107965
함평나비축제,비축제기간,2023,외부방문자 유입,0.2404218264594144
함평나비축제,비축제기간,2023,현지인방문자 유입,0.7066544971788914
함평나비축제,비축제기간,2023,내비게이션 검색량,0.1527609354699004
함평나비축제,비축제기간,2023,관광소비,0.49333062222711926
함평나비축제,비축제기간,2023,축제지 집중률,0.6130095675269154
함평나비축제,축제기간,2022,외부방문자 유입,0.5417074196658384
함평나비축제,축제기간,2022,현지인방문자 유입,0.7164264163593698
함평나비축제,축제기간,2022,내비게이션 검색량,0.4782807731434384
함평나비축제,축제기간,2022,관광소비,0.612642892632695
함평나비축제,축제기간,2022,축제지 집중률,0.8686393971508091
함평나비축제,비축제기간,2022,외부방문자 유입,0.18815110665188023
함평나비축제,비축제기간,2022,현지인방문자 유입,0.6062688568555146
함평나비축제,비축제기간,2022,내비게이션 검색량,0.2145854526958291
함평나비축제,비축제기간,2022,관광소비,0.4985690824559021
함평나비축제,비축제기간,2022,축제지 집중률,0.5527880647716097
함평나비축제,축제기간,2019,외부방문자 유입,0.46859694281041786
함평나비축제,축제기간,2019,현지인방문자 유입,0.8070139289540921
함평나비축제,축제기간,2019,내비게이션 검색량,0.371632427112806
함평나비축제,축제기간,2019,관광소비,0.6075811972019161
함평나비축제,축제기간,2019,축제지 집중률,0.8847182200107416
함평나비축제,비축제기간,2019,외부방문자 유입,0.12514078126059164
함평나비축제,비축제기간,2019,현지인방문자 유입,0.7103457512569026
함평나비축제,비축제기간,2019,내비게이션 검색량,0.11835711649649404
함평나비축제,비축제기간,2019,관광소비,0.447778808996685
함평나비축제,비축제기간,2019,축제지 집중률,0.4863824487245228
함평나비축제,축제기간,2018,외부방문자 유입,0.4408257072866312
함평나비축제,축제기간,2018,현지인방문자 유입,0.804240224385415
함평나비축제,축제기간,2018,내비게이션 검색량,0.3396256219887845
함평나비축제,축제기간,2018,관광소비,0.5623487468763285
함평나비축제,축제기간,2018,축제지 집중률,0.8854453660920754
함평나비축제,비축제기간,2018,외부방문자 유입,0.13058522269522732
함평나비축제,비축제기간,2018,현지인방문자 유입,0.6757857614255074
함평나비축제,비축제기간,2018,내비게이션 검색량,0.11752626174867704
함평나비축제,비축제기간,2018,관광소비,0.4486544499985793
함평나비축제,비축제기간,2018,축제지 집중률,0.5072865284028213
