축제명,그룹명,개최년도,구분명,구분값
화성뱃놀이축제,축제기간,2023,외부방문자 유입,0.48697858472040484
화성뱃놀이축제,축제기간,2023,현지인방문자 유입,0.8169263672471738
화성뱃놀이축제,축제기간,2023,내비게이션 검색량,0.41756855843965396
화성뱃놀이축제,축제기간,2023,관광소비,0.6757239123155785
화성뱃놀이축제,축제기간,2023,축제지 집중률,0.5078595805939038
화성뱃놀이축제,비축제기간,2023,외부방문자 유입,0.3932325079439999
화성뱃놀이축제,비축제기간,2023,현지인방문자 유입,0.5812328139321723
화성뱃놀이축제,비축제기간,2023,내비게이션 검색량,0.26538348731485556
화성뱃놀이축제,비축제기간,2023,관광소비,0.6986781343156212
화성뱃놀이축제,비축제기간,2023,축제지 집중률,0.38906491099028284
화성뱃놀이축제,축제기간,2022,외부방문자 유입,0.541222649640641
화성뱃놀이축제,축제기간,2022,현지인방문자 유입,0.7438577191052439
화성뱃놀이축제,축제기간,2022,내비게이션 검색량,0.6195803247567714
화성뱃놀이축제,축제기간,2022,관광소비,0.6976757057539079
화성뱃놀이축제,축제기간,2022,축제지 집중률,0.6089956710243727
화성뱃놀이축제,비축제기간,2022,외부방문자 유입,0.5603073907893866
화성뱃놀이축제,비축제기간,2022,현지인방문자 유입,0.6538549688302163
화성뱃놀이축제,비축제기간,2022,내비게이션 검색량,0.6011390216617513
화성뱃놀이축제,비축제기간,2022,관광소비,0.701455952106993
화성뱃놀이축제,비축제기간,2022,축제지 집중률,0.5808147137185082
화성뱃놀이축제,축제기간,2019,외부방문자 유입,0.49882596381838934
화성뱃놀이축제,축제기간,2019,현지인방문자 유입,0.7181496758986446
화성뱃놀이축제,축제기간,2019,내비게이션 검색량,0.5259967149469912
화성뱃놀이축제,축제기간,2019,관광소비,0.629819181558662
화성뱃놀이축제,축제기간,2019,축제지 집중률,0.6903821461089993
화성뱃놀이축제,비축제기간,2019,외부방문자 유입,0.32612546105207696
화성뱃놀이축제,비축제기간,2019,현지인방문자 유입,0.5189378314672952
화성뱃놀이축제,비축제기간,2019,내비게이션 검색량,0.25709272808720324
화성뱃놀이축제,비축제기간,2019,관광소비,0.6755673503564655
화성뱃놀이축제,비축제기간,2019,축제지 집중률,0.43221826314848666
화성뱃놀이축제,축제기간,2018,외부방문자 유입,0.4112667407563801
화성뱃놀이축제,축제기간,2018,현지인방문자 유입,0.6836782008925983
화성뱃놀이축제,축제기간,2018,내비게이션 검색량,0.44727086533538146
화성뱃놀이축제,축제기간,2018,관광소비,0.6840351260297901
화성뱃놀이축제,축제기간,2018,축제지 집중률,0.563483747111424
화성뱃놀이축제,비축제기간,2018,외부방문자 유입,0.31693189701375146
화성뱃놀이축제,비축제기간,2018,현지인방문자 유입,0.5233582565350954
화성뱃놀이축제,비축제기간,2018,내비게이션 검색량,0.290005120327701
화성뱃놀이축제,비축제기간,2018,관광소비,0.6583598244740401
화성뱃놀이축제,비축제기간,2018,축제지 집중률,0.4442461186088464
