축제명,그룹명,개최년도,구분명,구분값
횡성한우축제,축제기간,2023,외부방문자 유입,0.6562563087331714
횡성한우축제,축제기간,2023,현지인방문자 유입,0.8668782361783866
횡성한우축제,축제기간,2023,내비게이션 검색량,0.5981056829511465
횡성한우축제,축제기간,2023,관광소비,0.7482789372160382
횡성한우축제,축제기간,2023,축제지 집중률,0.900976731024205
횡성한우축제,비축제기간,2023,외부방문자 유입,0.3291169152231914
횡성한우축제,비축제기간,2023,현지인방문자 유입,0.7400033405712376
횡성한우축제,비축제기간,2023,내비게이션 검색량,0.27774177467597205
횡성한우축제,비축제기간,2023,관광소비,0.6308040641484207
횡성한우축제,비축제기간,2023,축제지 집중률,0.5567263290653698
횡성한우축제,축제기간,2022,외부방문자 유입,0.6651711469018117
횡성한우축제,축제기간,2022,현지인방문자 유입,0.8376025236593061
횡성한우축제,축제기간,2022,내비게이션 검색량,0.5766619519094767
횡성한우축제,축제기간,2022,관광소비,0.7183875683451245
횡성한우축제,축제기간,2022,축제지 집중률,0.8670217841809255
횡성한우축제,비축제기간,2022,외부방문자 유입,0.2913131592965154
횡성한우축제,비축제기간,2022,현지인방문자 유입,0.6679968454258676
횡성한우축제,비축제기간,2022,내비게이션 검색량,0.3720650636492221
횡성한우축제,비축제기간,2022,관광소비,0.5725359715670353
횡성한우축제,비축제기간,2022,축제지 집중률,0.5220079240204905
횡성한우축제,축제기간,2019,외부방문자 유입,0.7510555810226395
횡성한우축제,축제기간,2019,현지인방문자 유입,0.92970946579194
횡성한우축제,축제기간,2019,내비게이션 검색량,0.7156286721504113
횡성한우축제,축제기간,2019,관광소비,0.7201469036818752
횡성한우축제,축제기간,2019,축제지 집중률,0.8446197640869181
횡성한우축제,비축제기간,2019,외부방문자 유입,0.3134637662619177
횡성한우축제,비축제기간,2019,현지인방문자 유입,0.709729381443299
횡성한우축제,비축제기간,2019,내비게이션 검색량,0.38207990599294944
횡성한우축제,비축제기간,2019,관광소비,0.5096492931322216
횡성한우축제,비축제기간,2019,축제지 집중률,0.4565576774056668
횡성한우축제,축제기간,2018,외부방문자 유입,0.6720458763777756
횡성한우축제,축제기간,2018,현지인방문자 유입,0.9517471622523926
횡성한우축제,축제기간,2018,내비게이션 검색량,0.4426751592356688
횡성한우축제,축제기간,2018,관광소비,0.7041467030941968
횡성한우축제,축제기간,2018,축제지 집중률,0.9232839225927842
횡성한우축제,비축제기간,2018,외부방문자 유입,0.3095439599690765
횡성한우축제,비축제기간,2018,현지인방문자 유입,0.7542288003561095
횡성한우축제,비축제기간,2018,내비게이션 검색량,0.3039012738853503
횡성한우축제,비축제기간,2018,관광소비,0.5425496584171348
횡성한우축제,비축제기간,2018,축제지 집중률,0.49448437378466736
