축제명,도,시군구
강경젓갈축제,충남,논산시
강릉커피축제,강원,강릉시
강진청자축제,전남,강진군
고령대가야축제,경북,고령군
곡성세계장미축제,전남,곡성군
관악강감찬축제,서울,관악구
광안리어방축제,부산,수영구
광주김치축제,광주,서구
괴산고추축제,충북,괴산군
군산시간여행축제,전북,군산시
금산인삼축제,충남,금산군
금호강바람소리길축제,대구,대구
김제지평선축제,전북,김제시
김해분청도자기축제,경남,김해시
남원춘향제,전북,남원시
담양대나무축제,전남,담양군
대구약령시한방문화축제,대구,대구
대구치맥페스티벌,대구,대구
대전사이언스페스티벌,대전,유성구
대전효문화뿌리축제,대전,중구
동래읍성역사축제,부산,동래구
목포항구축제,전남,목포시
무주반딧불축제,전북,무주군
문경찻사발축제,경북,문경시
밀양아리랑대축제,경남,밀양시
보령머드축제,충남,보령시
보성다향대축제,전남,보성군
봉화은어축제,경북,봉화군
부안마실축제,전북,부안군
부천국제만화축제,경기,부천시
부평풍물대축제,인천,부평구
산청한방약초축제,경남,산청군
서산해미읍성축제,충남,서산시
석장리세계구석기축제,충남,공주시
세종축제,세종시,세종시
소래포구축제,인천,남동구
수성못페스티벌,대구,대구
수원화성문화제,경기,수원시
순창장류축제,전북,순창군
시흥갯골축제,경기,시흥시
안동탈춤축제,경북,안동시
안성맞춤남사당바우덕이축제,경기,안성시
알프스하동섬진강문화재첩축제,경남,하동군
양양송이축제,강원,양양군
여주오곡나루축제,경기,여주시
연천구석기축제,경기,연천군
영덕대게축제,경북,영덕군
영도다리축제,부산,영도구
영동난계국악축제,충북,영동군
영산강서창들녘억새축제,광주,서구
영암왕인문화축제,전남,영암군
영주풍기인삼축제,경북,영주시
울산고래축제,울산,남구
울산쇠부리축제,울산,북구
울산옹기축제,울산,울주군
원주다이내믹댄싱카니발,강원,원주시
원주한지문화제,강원,원주시
음성품바축제,충북,음성군
이천쌀문화축제,경기,이천시
인천펜타포트음악축제,인천,연수구
임실N치즈축제,전북,임실군
정남진장흥물축제,전남,장흥군
정선아리랑제,강원,정선군
제주들불축제,제주,제주시
지용제,충북,옥천군
진도신비의바닷길축제,전남,진도군
진안홍삼축제,전북,진안군
진주유등축제,경남,진주시
천안흥타령축제,충남,천안시
청송사과축제,경북,청송군
추억의충장축제,광주,동구
춘천마임축제,강원,춘천시
탐라문화제,제주,제주시
탐라입춘굿축제,제주,제주시
태백산눈축제,강원,태백시
통영한산대첩축제,경남,통영시
평창송어축제,강원,평창군
평창효석문화제,강원,평창군
포항국제불빛축제,경북,포항시
하동야생차문화축제,경남,하동군
한산모시문화제,충남,서천군
한성백제문화제,서울,송파구
함평나비축제,전남,함평군
화성뱃놀이축제,경기,화성시
화천산천어축제,강원,화천군
횡성한우축제,강원,횡성군
