축제명,개최년도,축제기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율,index_x,도,시군구,normalized_index_x,df1_index,df2_index,회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index_y,normalized_index_y
강경젓갈축제,2018,5,50642,59291,108,110041,22008.2,,,,110041,46.02,53.88,0.1,0,강경젓갈축제2018,충남,논산시,강경젓갈축제2018,강경젓갈축제2018,강경젓갈축제2018,2018,충남,강경젓갈축제,825000000,183950000,641050000,10,10,강경젓갈축제2018,강경젓갈축제2018
강경젓갈축제,2022,5,57971,69910,19,127900,25580,22008.2,16.2,110041,17859,45.33,54.66,0.01,16.23,강경젓갈축제2022,충남,논산시,강경젓갈축제2022,강경젓갈축제2022,강경젓갈축제2022,2022,충남,강경젓갈축제,1003000000,0,1003000000,10,10,강경젓갈축제2022,강경젓갈축제2022
강경젓갈축제,2023,4,52282,71999,18,124299,31074.75,25580,21.5,127900,-3601,42.06,57.92,0.01,-2.82,강경젓갈축제2023,충남,논산시,강경젓갈축제2023,강경젓갈축제2023,강경젓갈축제2023,2023,충남,강경젓갈축제,1178086190,0,1178086190,10,10,강경젓갈축제2023,강경젓갈축제2023
강릉커피축제,2018,5,61368,82621,279,144268,28853.6,,,,144268,42.54,57.27,0.19,0,강릉커피축제2018,강원,강릉시,강릉커피축제2018,강릉커피축제2018,강릉커피축제2018,2018,강원,강릉커피축제,390445000,40000000,350445000,10,10,강릉커피축제2018,강릉커피축제2018
강릉커피축제,2019,4,98907,61246,743,160896,40224,28853.6,39.4,144268,16628,61.47,38.07,0.46,11.53,강릉커피축제2019,강원,강릉시,강릉커피축제2019,강릉커피축제2019,강릉커피축제2019,2019,강원,강릉커피축제,440000000,91000000,349000000,10,10,강릉커피축제2019,강릉커피축제2019
강릉커피축제,2022,4,144613,113950,128,258691,64672.75,40224,60.8,160896,97795,55.9,44.05,0.05,60.78,강릉커피축제2022,강원,강릉시,강릉커피축제2022,,,,,,,,,,,,
강릉커피축제,2023,4,170198,64362,156,234716,58679,64672.75,-9.3,258691,-23975,72.51,27.42,0.07,-9.27,강릉커피축제2023,강원,강릉시,강릉커피축제2023,,,,,,,,,,,,
강진청자축제,2018,7,20025,38289,316,58630,8375.7143,,,,58630,34.15,65.31,0.54,0,강진청자축제2018,전남,강진군,강진청자축제2018,강진청자축제2018,강진청자축제2018,2018,전남,강진청자축제,1320000000,0,1320000000,7,8,강진청자축제2018,강진청자축제2018
강진청자축제,2019,7,20437,34432,75,54944,7849.1429,8375.7143,-6.3,58630,-3686,37.2,62.67,0.14,-6.29,강진청자축제2019,전남,강진군,강진청자축제2019,강진청자축제2019,강진청자축제2019,2019,전남,강진청자축제,1265500000,0,1265500000,10,10,강진청자축제2019,강진청자축제2019
강진청자축제,2023,7,29091,54965,1,84057,12008.1429,7849.1429,53,54944,29113,34.61,65.39,0,52.99,강진청자축제2023,전남,강진군,강진청자축제2023,강진청자축제2023,강진청자축제2023,2023,전남,강진청자축제,949740970,0,949740970,2,3,강진청자축제2023,강진청자축제2023
고령대가야축제,2018,4,35988,43918,118,80024,20006,,,,80024,44.97,54.88,0.15,0,고령대가야축제2018,경북,고령군,고령대가야축제2018,고령대가야축제2018,대가야체험축제2018,2018,경북,대가야체험축제,1376548000,0,1376548000,4,4,대가야체험축제2018,대가야체험축제2018
고령대가야축제,2019,4,37307,54113,109,91529,22882.25,20006,14.4,80024,11505,40.76,59.12,0.12,14.38,고령대가야축제2019,경북,고령군,고령대가야축제2019,고령대가야축제2019,대가야체험축제2019,2019,경북,대가야체험축제,1250225000,0,1250225000,4,4,대가야체험축제2019,대가야체험축제2019
고령대가야축제,2022,4,38013,57655,1,95669,23917.25,22882.25,4.5,91529,4140,39.73,60.27,0,4.52,고령대가야축제2022,경북,고령군,고령대가야축제2022,,,,,,,,,,,,
고령대가야축제,2023,3,33054,55609,9,88672,29557.3333,23917.25,23.6,95669,-6997,37.28,62.71,0.01,-7.31,고령대가야축제2023,경북,고령군,고령대가야축제2023,,,,,,,,,,,,
곡성세계장미축제,2018,10,28680,286974,83,315737,31573.7,,,,315737,9.08,90.89,0.03,0,곡성세계장미축제2018,전남,곡성군,곡성세계장미축제2018,곡성세계장미축제2018,제8회 곡성세계장미축제2018,2018,전남,제8회 곡성세계장미축제,300000000,1319292000,-1019292000,5,5,제8회 곡성세계장미축제2018,제8회곡성세계장미축제2018
곡성세계장미축제,2019,10,30547,224771,175,255493,25549.3,31573.7,-19.1,315737,-60244,11.96,87.98,0.07,-19.08,곡성세계장미축제2019,전남,곡성군,곡성세계장미축제2019,곡성세계장미축제2019,제9회 곡성세계장미축제2019,2019,전남,제9회 곡성세계장미축제,410000000,980650000,-570650000,5,5,제9회 곡성세계장미축제2019,제9회곡성세계장미축제2019
곡성세계장미축제,2022,17,40689,257843,9,298541,17561.2353,25549.3,-31.3,255493,43048,13.63,86.37,0,16.85,곡성세계장미축제2022,전남,곡성군,곡성세계장미축제2022,곡성세계장미축제2022,제12회 곡성세계장미축제2022,2022,전남,제12회 곡성세계장미축제,820000000,0,820000000,5,6,제12회 곡성세계장미축제2022,제12회곡성세계장미축제2022
곡성세계장미축제,2023,10,35434,260955,17,296406,29640.6,17561.2353,68.8,298541,-2135,11.95,88.04,0.01,-0.72,곡성세계장미축제2023,전남,곡성군,곡성세계장미축제2023,곡성세계장미축제2023,제13회 곡성세계장미축제2023,2023,전남,제13회 곡성세계장미축제,745000000,0,745000000,5,5,제13회 곡성세계장미축제2023,제13회곡성세계장미축제2023
관악강감찬축제,2019,3,64056,49106,387,113549,37849.6667,,,,113549,56.41,43.25,0.34,0,관악강감찬축제2019,서울,관악구,관악강감찬축제2019,관악강감찬축제2019,관악강감찬축제2019,2019,서울,관악강감찬축제,501226650,0,501226650,10,10,관악강감찬축제2019,관악강감찬축제2019
관악강감찬축제,2022,3,87262,61107,44,148413,49471,37849.6667,30.7,113549,34864,58.8,41.17,0.03,30.7,관악강감찬축제2022,서울,관악구,관악강감찬축제2022,관악강감찬축제2022,관악강감찬축제2022,2022,서울,관악강감찬축제,520000000,0,520000000,10,10,관악강감찬축제2022,관악강감찬축제2022
관악강감찬축제,2023,3,75453,60602,265,136320,45440,49471,-8.1,148413,-12093,55.35,44.46,0.19,-8.15,관악강감찬축제2023,서울,관악구,관악강감찬축제2023,관악강감찬축제2023,관악강감찬축제2023,2023,서울,관악강감찬축제,570000000,110000000,460000000,10,10,관악강감찬축제2023,관악강감찬축제2023
