그룹명,구분명,구분값,index
축제기간,외부방문자 유입,0.7281869334343932,강경젓갈축제2023
축제기간,현지인방문자 유입,0.9514649681528664,강경젓갈축제2023
축제기간,내비게이션 검색량,0.6626766985864113,강경젓갈축제2023
축제기간,관광소비,0.6840691390540836,강경젓갈축제2023
축제기간,축제지 집중률,0.9037781658108144,강경젓갈축제2023
비축제기간,외부방문자 유입,0.2716665527451776,강경젓갈축제2023
비축제기간,현지인방문자 유입,0.4718391719745223,강경젓갈축제2023
비축제기간,내비게이션 검색량,0.176157090743274,강경젓갈축제2023
비축제기간,관광소비,0.629403445300563,강경젓갈축제2023
비축제기간,축제지 집중률,0.3590108246443038,강경젓갈축제2023
축제기간,외부방문자 유입,0.704742555823451,강경젓갈축제2022
축제기간,현지인방문자 유입,0.8751915455746367,강경젓갈축제2022
축제기간,내비게이션 검색량,0.6355108877721942,강경젓갈축제2022
축제기간,관광소비,0.7225198536002919,강경젓갈축제2022
축제기간,축제지 집중률,0.8518316427809448,강경젓갈축제2022
비축제기간,외부방문자 유입,0.3479069890481985,강경젓갈축제2022
비축제기간,현지인방문자 유입,0.5698877146631439,강경젓갈축제2022
비축제기간,내비게이션 검색량,0.2863693467336684,강경젓갈축제2022
비축제기간,관광소비,0.6993505726757537,강경젓갈축제2022
비축제기간,축제지 집중률,0.4711207588695973,강경젓갈축제2022
축제기간,외부방문자 유입,0.0,강경젓갈축제2019
축제기간,현지인방문자 유입,0.0,강경젓갈축제2019
축제기간,내비게이션 검색량,0.0,강경젓갈축제2019
축제기간,관광소비,0.0,강경젓갈축제2019
축제기간,축제지 집중률,0.0,강경젓갈축제2019
비축제기간,외부방문자 유입,0.0,강경젓갈축제2019
비축제기간,현지인방문자 유입,0.0,강경젓갈축제2019
비축제기간,내비게이션 검색량,0.0,강경젓갈축제2019
비축제기간,관광소비,0.0,강경젓갈축제2019
비축제기간,축제지 집중률,0.0,강경젓갈축제2019
축제기간,외부방문자 유입,0.6251651098539667,강경젓갈축제2018
축제기간,현지인방문자 유입,0.921656050955414,강경젓갈축제2018
축제기간,내비게이션 검색량,0.5718918918918918,강경젓갈축제2018
축제기간,관광소비,0.6167623393535829,강경젓갈축제2018
축제기간,축제지 집중률,0.8174422845846621,강경젓갈축제2018
비축제기간,외부방문자 유입,0.3153189054071834,강경젓갈축제2018
비축제기간,현지인방문자 유입,0.5561146496815287,강경젓갈축제2018
비축제기간,내비게이션 검색량,0.3015765765765765,강경젓갈축제2018
비축제기간,관광소비,0.6160541637166473,강경젓갈축제2018
비축제기간,축제지 집중률,0.4398701222635692,강경젓갈축제2018
축제기간,외부방문자 유입,0.3942252957248972,강릉커피축제2023
축제기간,현지인방문자 유입,0.9171633345907204,강릉커피축제2023
축제기간,내비게이션 검색량,0.6974079639368895,강릉커피축제2023
축제기간,관광소비,0.5791269094715338,강릉커피축제2023
축제기간,축제지 집중률,0.7620121440670768,강릉커피축제2023
비축제기간,외부방문자 유입,0.4136959587298878,강릉커피축제2023
비축제기간,현지인방문자 유입,0.8083129007921539,강릉커피축제2023
비축제기간,내비게이션 검색량,0.3118191209616829,강릉커피축제2023
비축제기간,관광소비,0.632202023688518,강릉커피축제2023
비축제기간,축제지 집중률,0.6777433942216073,강릉커피축제2023
축제기간,외부방문자 유입,0.7072382060288399,강릉커피축제2022
축제기간,현지인방문자 유입,0.8645379979912956,강릉커피축제2022
축제기간,내비게이션 검색량,0.5063593004769475,강릉커피축제2022
축제기간,관광소비,0.7122521739689125,강릉커피축제2022
축제기간,축제지 집중률,0.857493999213294,강릉커피축제2022
비축제기간,외부방문자 유입,0.5265922319840576,강릉커피축제2022
비축제기간,현지인방문자 유입,0.7965506779377302,강릉커피축제2022
비축제기간,내비게이션 검색량,0.3390053656597774,강릉커피축제2022
비축제기간,관광소비,0.6479358771884581,강릉커피축제2022
비축제기간,축제지 집중률,0.7464996182753532,강릉커피축제2022
축제기간,외부방문자 유입,0.5064940582798426,강릉커피축제2019
축제기간,현지인방문자 유입,0.8607151559454191,강릉커피축제2019
축제기간,내비게이션 검색량,0.495819397993311,강릉커피축제2019
축제기간,관광소비,0.5791599682410935,강릉커피축제2019
축제기간,축제지 집중률,0.6918116482470751,강릉커피축제2019
비축제기간,외부방문자 유입,0.3965214750042489,강릉커피축제2019
비축제기간,현지인방문자 유입,0.7484580592105263,강릉커피축제2019
비축제기간,내비게이션 검색량,0.2844899665551839,강릉커피축제2019
비축제기간,관광소비,0.6002881710496084,강릉커피축제2019
비축제기간,축제지 집중률,0.5317835170980338,강릉커피축제2019
축제기간,외부방문자 유입,0.4780737468570505,강릉커피축제2018
축제기간,현지인방문자 유입,0.6597930385700846,강릉커피축제2018
축제기간,내비게이션 검색량,0.4463705308775731,강릉커피축제2018
축제기간,관광소비,0.5821279497858739,강릉커피축제2018
축제기간,축제지 집중률,0.8337446244858797,강릉커피축제2018
비축제기간,외부방문자 유입,0.3461583210306567,강릉커피축제2018
비축제기간,현지인방문자 유입,0.4641110065851364,강릉커피축제2018
비축제기간,내비게이션 검색량,0.2925514626218851,강릉커피축제2018
비축제기간,관광소비,0.6167035805540546,강릉커피축제2018
비축제기간,축제지 집중률,0.5678746044256098,강릉커피축제2018
축제기간,외부방문자 유입,0.5615631045166738,강진청자축제2023
축제기간,현지인방문자 유입,0.6777560339204175,강진청자축제2023
축제기간,내비게이션 검색량,0.5613275613275613,강진청자축제2023
축제기간,관광소비,0.5217729403176984,강진청자축제2023
축제기간,축제지 집중률,0.7933939779666782,강진청자축제2023
비축제기간,외부방문자 유입,0.1016054665318318,강진청자축제2023
비축제기간,현지인방문자 유입,0.1502364644487932,강진청자축제2023
비축제기간,내비게이션 검색량,0.1159211159211159,강진청자축제2023
비축제기간,관광소비,0.4606036215595241,강진청자축제2023
비축제기간,축제지 집중률,0.2168729645700472,강진청자축제2023
축제기간,외부방문자 유입,0.0,강진청자축제2022
축제기간,현지인방문자 유입,0.0,강진청자축제2022
축제기간,내비게이션 검색량,0.0,강진청자축제2022
