,축제명,도,시군구,읍면동,개최년도,개최시작일자,개최종료일자,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,총비용,사업수익,순원가
0,강경젓갈축제,충청남도,논산시,강경읍,2018,20181010.0,20181014.0,5.0,50642.0,59291.0,108.0,110041.0,22008.2,825000000.0,183950000.0,641050000.0
1,강경젓갈축제,충청남도,논산시,강경읍,2020,20201014.0,20201018.0,5.0,,,,,,650000000.0,0.0,650000000.0
2,강경젓갈축제,충청남도,논산시,강경읍,2021,20211013.0,20211017.0,5.0,,,,,,749876950.0,0.0,749876950.0
3,강경젓갈축제,충청남도,논산시,강경읍,2022,20221012.0,20221016.0,5.0,57971.0,69910.0,19.0,127900.0,25580.0,1003000000.0,0.0,1003000000.0
4,강경젓갈축제,충청남도,논산시,강경읍,2023,20231019.0,20231022.0,4.0,52282.0,71999.0,18.0,124299.0,31074.75,1178086190.0,0.0,1178086190.0
5,괴산고추축제,충청북도,괴산군,괴산읍,2018,20180830.0,20180902.0,4.0,38254.0,53578.0,75.0,91907.0,22976.75,0.0,0.0,0.0
6,괴산고추축제,충청북도,괴산군,괴산읍,2019,20190829.0,20190901.0,4.0,39975.0,70971.0,152.0,111098.0,27774.5,991815790.0,0.0,991815790.0
7,괴산고추축제,충청북도,괴산군,괴산읍,2020,20200831.0,20200915.0,,,,,,,345096820.0,0.0,345096820.0
8,괴산고추축제,충청북도,괴산군,괴산읍,2021,20210902.0,20210905.0,4.0,,,,,,708697640.0,0.0,708697640.0
9,괴산고추축제,충청북도,괴산군,괴산읍,2022,20220901.0,20220904.0,4.0,50340.0,61335.0,9.0,111684.0,27921.0,1129331000.0,0.0,1129331000.0
10,괴산고추축제,충청북도,괴산군,괴산읍,2023,20230831.0,20230903.0,4.0,52928.0,79873.0,58.0,132859.0,33214.75,1140000000.0,0.0,1140000000.0
11,금산인삼축제,충청남도,금산군,금산읍,2018,20181005.0,20181014.0,10.0,215278.0,224894.0,443.0,440615.0,44061.5,2124975949.0,0.0,2124975949.0
12,금산인삼축제,충청남도,금산군,금산읍,2019,,,10.0,232728.0,225600.0,2305.0,460633.0,46063.3,,,
13,금산인삼축제,충청남도,금산군,금산읍,2020,20201009.0,20201018.0,10.0,,,,,,794257000.0,0.0,794257000.0
14,금산인삼축제,충청남도,금산군,금산읍,2022,20220930.0,20221010.0,11.0,300315.0,267140.0,56.0,567511.0,51591.9091,2500000000.0,0.0,2500000000.0
