도,시군구,년도,카테고리중분류명,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
충청남도,공주시,2018,기타관광,623625,6.6,89569,14.4
충청남도,공주시,2018,레저스포츠,623625,6.6,21068,3.4
충청남도,공주시,2018,문화관광,623625,6.6,62905,10.1
충청남도,공주시,2018,쇼핑,623625,6.6,12652,2.0
충청남도,공주시,2018,숙박,623625,6.6,49802,8.0
충청남도,공주시,2018,역사관광,623625,6.6,197264,31.6
충청남도,공주시,2018,음식,623625,6.6,171940,27.6
충청남도,공주시,2018,자연관광,623625,6.6,13452,2.2
충청남도,공주시,2018,체험관광,623625,6.6,4973,0.8
충청남도,공주시,2019,기타관광,912552,6.6,121135,13.3
충청남도,공주시,2019,레저스포츠,912552,6.6,30325,3.3
충청남도,공주시,2019,문화관광,912552,6.6,82646,9.1
충청남도,공주시,2019,쇼핑,912552,6.6,22211,2.4
충청남도,공주시,2019,숙박,912552,6.6,83888,9.2
충청남도,공주시,2019,역사관광,912552,6.6,263356,28.9
충청남도,공주시,2019,음식,912552,6.6,280496,30.7
충청남도,공주시,2019,자연관광,912552,6.6,21380,2.3
충청남도,공주시,2019,체험관광,912552,6.6,7115,0.8
충청남도,공주시,2020,기타관광,1022622,6.6,120746,11.8
충청남도,공주시,2020,레저스포츠,1022622,6.6,39647,3.9
충청남도,공주시,2020,문화관광,1022622,6.6,68743,6.7
충청남도,공주시,2020,쇼핑,1022622,6.6,25886,2.5
충청남도,공주시,2020,숙박,1022622,6.6,94173,9.2
충청남도,공주시,2020,역사관광,1022622,6.6,296982,29.0
충청남도,공주시,2020,음식,1022622,6.6,348440,34.1
충청남도,공주시,2020,자연관광,1022622,6.6,20836,2.0
충청남도,공주시,2020,체험관광,1022622,6.6,7169,0.7
충청남도,공주시,2021,기타관광,1356082,7.2,137849,10.2
충청남도,공주시,2021,레저스포츠,1356082,7.2,45777,3.4
충청남도,공주시,2021,문화관광,1356082,7.2,109074,8.0
충청남도,공주시,2021,쇼핑,1356082,7.2,33584,2.5
충청남도,공주시,2021,숙박,1356082,7.2,118401,8.7
충청남도,공주시,2021,역사관광,1356082,7.2,357094,26.3
충청남도,공주시,2021,음식,1356082,7.2,513774,37.9
충청남도,공주시,2021,자연관광,1356082,7.2,32918,2.4
충청남도,공주시,2021,체험관광,1356082,7.2,7611,0.6
충청남도,공주시,2022,기타관광,1565016,7.0,151553,9.7
충청남도,공주시,2022,레저스포츠,1565016,7.0,46515,3.0
충청남도,공주시,2022,문화관광,1565016,7.0,128026,8.2
충청남도,공주시,2022,쇼핑,1565016,7.0,38638,2.5
충청남도,공주시,2022,숙박,1565016,7.0,161705,10.3
충청남도,공주시,2022,역사관광,1565016,7.0,372740,23.8
충청남도,공주시,2022,음식,1565016,7.0,625519,40.0
충청남도,공주시,2022,자연관광,1565016,7.0,31271,2.0
충청남도,공주시,2022,체험관광,1565016,7.0,9049,0.6
충청남도,공주시,2023,기타관광,1630607,6.9,154382,9.5
충청남도,공주시,2023,레저스포츠,1630607,6.9,45213,2.8
충청남도,공주시,2023,문화관광,1630607,6.9,129963,8.0
충청남도,공주시,2023,쇼핑,1630607,6.9,38468,2.4
충청남도,공주시,2023,숙박,1630607,6.9,170271,10.4
충청남도,공주시,2023,역사관광,1630607,6.9,383646,23.5
충청남도,공주시,2023,음식,1630607,6.9,670837,41.1
충청남도,공주시,2023,자연관광,1630607,6.9,23055,1.4
충청남도,공주시,2023,체험관광,1630607,6.9,14772,0.9
충청남도,공주시,2024,기타관광,1570437,6.7,128274,8.2
충청남도,공주시,2024,레저스포츠,1570437,6.7,42211,2.7
충청남도,공주시,2024,문화관광,1570437,6.7,144817,9.2
충청남도,공주시,2024,쇼핑,1570437,6.7,34934,2.2
충청남도,공주시,2024,숙박,1570437,6.7,142785,9.1
충청남도,공주시,2024,역사관광,1570437,6.7,326353,20.8
충청남도,공주시,2024,음식,1570437,6.7,712011,45.3
충청남도,공주시,2024,자연관광,1570437,6.7,24471,1.6
충청남도,공주시,2024,체험관광,1570437,6.7,14581,0.9
충청북도,괴산군,2018,기타관광,170382,3.1,47883,28.1
충청북도,괴산군,2018,레저스포츠,170382,3.1,6096,3.6
충청북도,괴산군,2018,문화관광,170382,3.1,5325,3.1
충청북도,괴산군,2018,쇼핑,170382,3.1,3108,1.8
충청북도,괴산군,2018,숙박,170382,3.1,36224,21.3
충청북도,괴산군,2018,역사관광,170382,3.1,5355,3.1
충청북도,괴산군,2018,음식,170382,3.1,17267,10.1
충청북도,괴산군,2018,자연관광,170382,3.1,47145,27.7
충청북도,괴산군,2018,체험관광,170382,3.1,1979,1.2
충청북도,괴산군,2019,기타관광,244186,3.0,69378,28.4
충청북도,괴산군,2019,레저스포츠,244186,3.0,7767,3.2
충청북도,괴산군,2019,문화관광,244186,3.0,8687,3.6
충청북도,괴산군,2019,쇼핑,244186,3.0,6586,2.7
충청북도,괴산군,2019,숙박,244186,3.0,52976,21.7
충청북도,괴산군,2019,역사관광,244186,3.0,8282,3.4
충청북도,괴산군,2019,음식,244186,3.0,28756,11.8
충청북도,괴산군,2019,자연관광,244186,3.0,59288,24.3
충청북도,괴산군,2019,체험관광,244186,3.0,2466,1.0
충청북도,괴산군,2020,기타관광,297682,3.2,75261,25.3
충청북도,괴산군,2020,레저스포츠,297682,3.2,4549,1.5
충청북도,괴산군,2020,문화관광,297682,3.2,8044,2.7
충청북도,괴산군,2020,쇼핑,297682,3.2,8156,2.7
충청북도,괴산군,2020,숙박,297682,3.2,74409,25.0
충청북도,괴산군,2020,역사관광,297682,3.2,10226,3.4
충청북도,괴산군,2020,음식,297682,3.2,41439,13.9
충청북도,괴산군,2020,자연관광,297682,3.2,72866,24.5
충청북도,괴산군,2020,체험관광,297682,3.2,2732,0.9
충청북도,괴산군,2021,기타관광,363384,3.1,77075,21.2
충청북도,괴산군,2021,레저스포츠,363384,3.1,4737,1.3
충청북도,괴산군,2021,문화관광,363384,3.1,12294,3.4
충청북도,괴산군,2021,쇼핑,363384,3.1,11707,3.2
충청북도,괴산군,2021,숙박,363384,3.1,88218,24.3
충청북도,괴산군,2021,역사관광,363384,3.1,11218,3.1
충청북도,괴산군,2021,음식,363384,3.1,60210,16.6
충청북도,괴산군,2021,자연관광,363384,3.1,93361,25.7
충청북도,괴산군,2021,체험관광,363384,3.1,4564,1.3
충청북도,괴산군,2022,기타관광,408729,2.9,74632,18.3
충청북도,괴산군,2022,레저스포츠,408729,2.9,6596,1.6
충청북도,괴산군,2022,문화관광,408729,2.9,20638,5.0
충청북도,괴산군,2022,쇼핑,408729,2.9,12881,3.2
충청북도,괴산군,2022,숙박,408729,2.9,106520,26.1
충청북도,괴산군,2022,역사관광,408729,2.9,11894,2.9
충청북도,괴산군,2022,음식,408729,2.9,80474,19.7
충청북도,괴산군,2022,자연관광,408729,2.9,90183,22.1
충청북도,괴산군,2022,체험관광,408729,2.9,4911,1.2
충청북도,괴산군,2023,기타관광,380250,2.5,63765,16.8
충청북도,괴산군,2023,레저스포츠,380250,2.5,7337,1.9
충청북도,괴산군,2023,문화관광,380250,2.5,23873,6.3
충청북도,괴산군,2023,쇼핑,380250,2.5,16205,4.3
충청북도,괴산군,2023,숙박,380250,2.5,102169,26.9
충청북도,괴산군,2023,역사관광,380250,2.5,11729,3.1
충청북도,괴산군,2023,음식,380250,2.5,90588,23.8
충청북도,괴산군,2023,자연관광,380250,2.5,60311,15.9
충청북도,괴산군,2023,체험관광,380250,2.5,4273,1.1
충청북도,괴산군,2024,기타관광,463759,3.0,72094,15.5
충청북도,괴산군,2024,레저스포츠,463759,3.0,8744,1.9
충청북도,괴산군,2024,문화관광,463759,3.0,51483,11.1
충청북도,괴산군,2024,쇼핑,463759,3.0,15349,3.3
충청북도,괴산군,2024,숙박,463759,3.0,91563,19.7
충청북도,괴산군,2024,역사관광,463759,3.0,14352,3.1
충청북도,괴산군,2024,음식,463759,3.0,131114,28.3
충청북도,괴산군,2024,자연관광,463759,3.0,75777,16.3
충청북도,괴산군,2024,체험관광,463759,3.0,3283,0.7
충청남도,금산군,2018,기타관광,139462,1.5,10399,7.5
충청남도,금산군,2018,레저스포츠,139462,1.5,19040,13.7
