회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index
2018,서울,서울특별시장기 생활체육대회,687200000,0,687200000,1,12,서울특별시장기 생활체육대회2018
2018,서울,서울빛초롱 축제(등 축제),1069409690,0,1069409690,11,11,서울빛초롱 축제(등 축제)2018
2018,서울,연등 축제,600000000,0,600000000,5,5,연등 축제2018
2018,서울,왕궁수문장 교대의식 재현,2309200000,0,2309200000,1,12,왕궁수문장 교대의식 재현2018
2018,서울,남산 봉수의식 등 전통문화 행사,750000000,0,750000000,1,12,남산 봉수의식 등 전통문화 행사2018
2018,서울,태권도 상설공연 행사,514100000,0,514100000,5,10,태권도 상설공연 행사2018
2018,서울,광화문ㆍ뚝섬 나눔장터 운영,602862160,0,602862160,4,11,광화문ㆍ뚝섬 나눔장터 운영2018
2018,서울,서울국제만화애니메이션페스티벌,570000000,0,570000000,8,8,서울국제만화애니메이션페스티벌2018
2018,서울,서울김장문화제,917255530,0,917255530,11,11,서울김장문화제2018
2018,서울,서울국제트래블마트 행사,880000000,0,880000000,9,9,서울국제트래블마트 행사2018
2018,서울,문화가 흐르는 서울광장 행사,984577000,0,984577000,4,10,문화가 흐르는 서울광장 행사2018
2018,서울,서울정원박람회,1329444760,40000000,1289444760,10,10,서울정원박람회2018
2018,서울,거리예술존 운영,666820000,0,666820000,4,11,거리예술존 운영2018
2018,서울,한강몽땅 여름축제,1140345110,0,1140345110,7,8,한강몽땅 여름축제2018
2018,서울,정조대왕 능행차 재현,1259300100,0,1259300100,10,10,정조대왕 능행차 재현2018
2018,서울,서울밤도깨비 야시장,2339341440,0,2339341440,3,10,서울밤도깨비 야시장2018
2018,서울,서울 크리스마스마켓 운영,553118536,0,553118536,12,12,서울 크리스마스마켓 운영2018
2018,서울,문화재야행,345608820,225000000,120608820,5,5,문화재야행2018
2018,서울,이태원지구촌축제,359680900,149500000,210180900,10,10,이태원지구촌축제2018
2018,서울,서울장미축제,562000000,140000000,422000000,5,5,서울장미축제2018
2018,서울,마포나루 새우젓축제,639250700,215000000,424250700,10,10,마포나루 새우젓축제2018
2018,서울,허준 축제,403500900,70000000,333500900,10,10,허준 축제2018
2018,서울,체육활동 활성화(종목별 대회 등),589979710,34990000,554989710,1,12,체육활동 활성화(종목별 대회 등)2018
2018,서울,구로 아시아 문화축제 개최,500000000,0,500000000,10,10,구로 아시아 문화축제 개최2018
2018,서울,서울구로국제어린이영화제,548748000,250000000,298748000,5,5,서울구로국제어린이영화제2018
2018,서울,영등포 여의도 봄꽃축제,420825000,180000000,240825000,4,4,영등포 여의도 봄꽃축제2018
2018,서울,2018 동작가족한마음축제,301918590,0,301918590,10,10,2018 동작가족한마음축제2018
2018,서울,서초금요음악회,319949020,0,319949020,1,12,서초금요음악회2018
2018,서울,권역별 찾아가는 서초토요벼룩시장,324728390,0,324728390,3,11,권역별 찾아가는 서초토요벼룩시장2018
2018,서울,국제평화마라톤,407298940,0,407298940,10,10,국제평화마라톤2018
2018,서울,강남페스티벌 패션쇼,419945590,0,419945590,10,10,강남페스티벌 패션쇼2018
2018,서울,강남페스티벌,917735130,0,917735130,9,10,강남페스티벌2018
2018,서울,서울놀이마당 상설전통공연,553976000,0,553976000,1,12,서울놀이마당 상설전통공연2018
2018,서울,한성백제문화제,484827810,0,484827810,10,10,한성백제문화제2018
2018,서울,강동선사문화축제,590000000,0,590000000,10,10,강동선사문화축제2018
2018,서울,친환경 도시농업 축제,517999090,284000000,233999090,5,5,친환경 도시농업 축제2018
2018,부산,부산항축제,620000000,200000000,420000000,5,5,부산항축제2018
2018,부산,부산국제영화제,6350000000,0,6350000000,10,10,부산국제영화제2018
2018,부산,부산국제광고제,1315307020,624090284,691216736,1,12,부산국제광고제2018
